,mac number,nonzero entries,distinct values,key point coverage %,standard deviation
0,50:d4:f7:b9:c0:c2,22,16,22.68041237113402,6.660598798806946
1,50:d4:f7:b9:c4:44,44,21,45.36082474226804,6.730040799900827
2,50:d4:f7:ff:ec:e0,68,22,70.10309278350515,6.404500525911891
3,50:d4:f7:b9:a6:de,71,19,73.19587628865979,4.287843220418086
4,50:d4:f7:b9:c3:6a,18,9,18.556701030927837,3.645281079251706
5,50:d4:f7:b9:b1:aa,41,14,42.2680412371134,4.373227512680659
6,50:d4:f7:b9:aa:cc,61,22,62.88659793814433,5.60813949452209
7,50:d4:f7:b9:a5:16,21,11,21.649484536082475,4.1878786905796845
8,50:d4:f7:b9:c4:dc,45,16,46.391752577319586,5.806911557543238
9,50:d4:f7:ff:df:56,61,21,62.88659793814433,6.502551979934055
10,50:d4:f7:b9:a7:ae,32,11,32.98969072164948,3.416349498419691
11,50:d4:f7:b9:a7:a6,22,11,22.68041237113402,2.751657956510696
12,50:d4:f7:ff:d3:c6,29,13,29.896907216494846,3.259817425790538
13,50:d4:f7:b9:c0:fe,9,5,9.278350515463918,1.48747344314887
