,Unnamed: 0,x_pos,y_pos,av_sim
0,0,309,254,0.04055389055389056
1,1,323,265,0.04659229659229659
2,2,327,237,0.04391876737237562
3,3,339,250,0.04425648807092106
4,4,343,222,0.029744997270770464
5,5,355,234,0.05807651683940344
6,6,355,209,0.0570626967534184
7,7,366,220,0.05924962780632883
8,8,374,188,0.05791073187980404
9,9,386,201,0.058666376578747716
10,10,386,235,0.02934039042286465
11,11,400,219,0.026534233235264167
12,12,414,235,0.04223691543279171
13,13,402,247,0.03422974505448732
14,14,393,169,0.05263684163017092
15,15,402,187,0.06239452128627386
16,16,423,168,0.05988659359641773
17,17,443,186,0.06369913944959427
18,18,452,166,0.060987212874720455
19,19,467,185,0.05783607521782173
20,20,475,169,0.05362346954978853
21,21,492,185,0.05591676364872241
22,22,494,169,0.07747499619846496
23,23,514,187,0.07185981258146207
24,24,512,170,0.060944963499542024
25,25,393,159,0.04663397885047369
26,26,391,146,0.03798386607664959
27,27,413,159,0.018213058419243987
28,28,414,146,0.04397421021132361
29,29,440,157,0.0580196435866539
30,30,440,146,0.05970921976076615
31,31,464,145,0.05544864642802787
32,32,464,162,0.07591773919093506
33,33,485,156,0.07345246391638144
34,34,484,145,0.05702519130354182
35,35,509,146,0.07952362643084292
36,36,510,157,0.08276751884999306
37,37,527,145,0.08594584530757968
38,38,524,162,0.0646296598085561
39,39,533,162,0.08063957806225847
40,40,528,185,0.07729000667144997
41,41,543,145,0.0966458226767505
42,42,544,156,0.09445109586862163
43,43,560,145,0.08926777689664286
44,44,559,156,0.06772581656602275
45,45,544,169,0.07619667072365677
46,46,544,187,0.067002442002442
47,47,560,169,0.07988177427989436
48,48,561,187,0.08948876573194342
49,49,579,168,0.0654436771704813
50,50,585,185,0.08534420905554925
51,51,569,155,0.07505467041549517
52,52,567,146,0.05810944496511507
53,53,581,146,0.0545591865179494
54,54,595,157,0.04907124662279302
55,55,593,146,0.06149623572303985
56,56,582,158,0.053453219174868664
57,57,613,145,0.06899392131350894
58,58,614,156,0.05054555982391034
59,59,634,147,0.045189718643326895
60,60,634,156,0.07136806492476595
61,61,597,169,0.0761105446672457
62,62,606,186,0.08206155242237717
63,63,618,169,0.11074428149170416
64,64,637,168,0.08535998651978034
65,65,640,187,0.06338491119418954
66,66,625,189,0.07556624360748071
67,67,608,208,0.037755543425646514
68,68,610,233,0.030726861912428925
69,69,629,233,0.025266657740884543
70,70,629,213,0.061366468582963435
71,71,660,170,0.08664335798962845
72,72,653,188,0.09817935500925193
73,73,674,186,0.06516851267457696
74,74,665,198,0.0889723535342092
75,75,677,210,0.042505318278514156
76,76,689,202,0.04633979994804738
77,77,699,213,0.051045804138587635
78,78,694,222,0.07081563911460818
79,79,679,224,0.03301869951354487
80,80,673,231,0.044272623138602515
81,81,669,163,0.08118593891789767
82,82,677,141,0.08511365495901578
83,83,684,178,0.05915710864164472
84,84,683,161,0.05402527026238366
85,85,697,175,0.036475952455333895
86,86,697,193,0.03507609229258714
87,87,719,196,0.03213058419243986
88,88,708,209,0.053121277348081475
89,89,720,221,0.023539518900343642
90,90,739,215,0.03608247422680412
91,91,735,232,0.05473735886107021
92,92,757,235,0.06624938635247912
93,93,749,247,0.061278841433480606
94,94,770,246,0.06272704958271969
95,95,760,259,0.043703976435935196
96,96,779,265,0.013745704467353952
