,x,y,x_pf,y_pf,time,av_time
0,414,213,431.3017347866496,212.05559174968383,2021-04-08 18:44:00,2021-04-08 18:44:03.933333333
1,330,246,384.7782149346243,212.72121302209476,2021-04-08 18:44:10,2021-04-08 18:44:15.249999872
2,417,180,398.8907602374641,194.6486218300086,2021-04-08 18:44:20,2021-04-08 18:44:25.683333376
3,491,182,441.6788702390519,177.65925600649507,2021-04-08 18:44:30,2021-04-08 18:44:33.333333376
4,411,179,426.9199046950911,182.85779519928866,2021-04-08 18:44:40,2021-04-08 18:44:45.687499968
5,472,165,449.38126857312375,171.68795514315872,2021-04-08 18:44:50,2021-04-08 18:44:55.812500032
6,514,156,485.53080708228896,159.04940722642692,2021-04-08 18:45:00,2021-04-08 18:45:05.012499968
7,514,153,504.5582957637136,154.3021248101379,2021-04-08 18:45:10,2021-04-08 18:45:12.187500032
8,507,156,506.05701568676557,147.58213008076712,2021-04-08 18:45:20,2021-04-08 18:45:25.000000000
9,505,157,507.6458784068579,145.73700721961782,2021-04-08 18:45:30,2021-04-08 18:45:33.333333248
10,509,151,510.0351830441504,148.13820074722918,2021-04-08 18:45:40,2021-04-08 18:45:42.000000000
11,413,178,463.1506840722419,170.73784267512576,2021-04-08 18:45:50,2021-04-08 18:45:53.287500032
12,350,234,405.7278970061832,186.6151127733985,2021-04-08 18:46:00,2021-04-08 18:46:05.071428608
13,361,214,378.83239386105924,205.1866721958689,2021-04-08 18:46:10,2021-04-08 18:46:15.000000000
14,378,198,377.0922570392837,204.11100514750194,2021-04-08 18:46:20,2021-04-08 18:46:25.333333333
15,405,180,392.02546554076196,194.62585041699947,2021-04-08 18:46:30,2021-04-08 18:46:35.121428544
16,408,182,401.48081638046426,191.33389363865587,2021-04-08 18:46:40,2021-04-08 18:46:46.000000000
17,394,183,398.559451856937,191.46943375945014,2021-04-08 18:46:50,2021-04-08 18:46:53.666666598
30,374,202,374.2353095094345,203.54171150411304,2021-04-08 18:48:00,2021-04-08 18:48:04.200000000
31,383,215,374.59217524169526,209.6075337623813,2021-04-08 18:48:10,2021-04-08 18:48:14.200000000
32,432,175,403.97537811670867,194.14234063746736,2021-04-08 18:48:20,2021-04-08 18:48:24.750000000
33,365,221,379.0665544211364,205.34929302950283,2021-04-08 18:48:30,2021-04-08 18:48:34.999999744
34,346,223,362.1157528519636,216.58595699452738,2021-04-08 18:48:40,2021-04-08 18:48:45.375000064
35,370,205,365.13757719757746,210.47513908159377,2021-04-08 18:48:50,2021-04-08 18:48:55.733333333
36,422,179,392.3833886860724,195.7360958008315,2021-04-08 18:49:00,2021-04-08 18:49:02.777777749
37,414,153,400.36271029355976,153.79747345263254,2021-04-08 18:49:10,2021-04-08 18:49:12.666666624
38,462,178,434.89422908641035,163.3832315807452,2021-04-08 18:49:20,2021-04-08 18:49:23.222222251
39,413,154,424.8383563827844,146.6458443981736,2021-04-08 18:49:30,2021-04-08 18:49:35.299999872
40,424,160,430.0963768805605,139.69474815748976,2021-04-08 18:49:40,2021-04-08 18:49:43.941666624
41,383,176,397.3716897914124,144.7540245339347,2021-04-08 18:49:50,2021-04-08 18:49:53.500000000
42,394,187,401.73305216712623,180.85806163147814,2021-04-08 18:50:00,2021-04-08 18:50:06.250000000
43,428,191,431.23562808586735,195.1294445374097,2021-04-08 18:50:10,2021-04-08 18:50:15.624999936
44,417,187,424.0534133594159,186.52303653305535,2021-04-08 18:50:20,2021-04-08 18:50:26.000000000
45,412,197,415.3227826575712,186.13891383162456,2021-04-08 18:50:30,2021-04-08 18:50:33.607142784
46,396,205,410.7263222613084,188.9138606009161,2021-04-08 18:50:40,2021-04-08 18:50:43.833333419
47,440,176,427.73059061307316,186.4170064665031,2021-04-08 18:50:50,2021-04-08 18:50:56.244444416
18,495,170,494.8274570371797,173.63968231904528,2021-04-08 18:52:00,2021-04-08 18:52:03.874999936
19,490,167,497.6316176798527,152.30419843252662,2021-04-08 18:52:10,2021-04-08 18:52:14.116666675
20,494,173,496.9518678851371,168.76127090816692,2021-04-08 18:52:20,2021-04-08 18:52:24.853571392
21,495,156,496.3703554076848,152.3275882948852,2021-04-08 18:52:30,2021-04-08 18:52:34.850000000
22,474,166,477.14168009573393,162.29882957417567,2021-04-08 18:52:40,2021-04-08 18:52:42.875000000
23,493,160,489.41804687517447,150.8734929789316,2021-04-08 18:52:50,2021-04-08 18:52:53.333333376
24,498,162,494.5856785478583,145.08133073783847,2021-04-08 18:53:00,2021-04-08 18:53:04.750000000
25,487,164,497.81384793840516,143.15916024008033,2021-04-08 18:53:10,2021-04-08 18:53:13.666666667
26,499,162,497.9129171437067,143.3220697633977,2021-04-08 18:53:20,2021-04-08 18:53:24.262500032
27,487,161,497.6135738595585,142.70043874800967,2021-04-08 18:53:30,2021-04-08 18:53:34.111110997
28,489,157,493.9066613326167,144.50997648400468,2021-04-08 18:53:40,2021-04-08 18:53:44.222222251
29,489,179,488.58123078679273,165.65353129050533,2021-04-08 18:53:50,2021-04-08 18:53:53.666666581
