,time,av_time,x,y,ax,ay,bx,by,cx,cy
0,2021-04-08 18:44:00,2021-04-08 18:44:06.000000000,357.5253417311465,212.94693736907644,327,237,374,188,402,187
1,2021-04-08 18:44:10,2021-04-08 18:44:13.333333333,372.8985072803733,214.86830476533046,393,169,414,235,423,168
2,2021-04-08 18:44:20,2021-04-08 18:44:25.744444416,367.4896231949146,210.32218313454325,386,201,423,168,309,254
3,2021-04-08 18:44:30,2021-04-08 18:44:33.533333312,370.4115882871401,213.1248300579414,423,168,327,237,323,265
4,2021-04-08 18:44:40,2021-04-08 18:44:44.325000021,380.84811650176346,204.25944981169198,402,187,423,168,339,250
5,2021-04-08 18:44:50,2021-04-08 18:44:55.749999957,496.6269073310213,168.72486249243497,484,145,544,169,512,170
6,2021-04-08 18:45:00,2021-04-08 18:45:04.270833344,505.6966430974401,156.5069362493735,484,145,509,146,485,156
7,2021-04-08 18:45:10,2021-04-08 18:45:14.186111061,505.5747451005915,155.85651377511618,509,146,484,145,485,156
8,2021-04-08 18:45:20,2021-04-08 18:45:25.149999936,512.0108466748993,154.71578778708513,544,156,509,146,484,145
9,2021-04-08 18:45:30,2021-04-08 18:45:36.263888895,509.93324615077324,153.8586000261809,512,170,485,156,509,146
10,2021-04-08 18:45:40,2021-04-08 18:45:44.625000021,457.2492012913944,173.60538499399286,494,169,467,185,475,169
11,2021-04-08 18:45:50,2021-04-08 18:45:53.469444437,392.32788035994514,181.4051260734376,423,168,393,159,374,188
12,2021-04-08 18:46:00,2021-04-08 18:46:05.000000000,382.0825771227786,213.82057722524866,386,235,393,169,374,188
13,2021-04-08 18:46:10,2021-04-08 18:46:15.050000043,339.37619489521154,228.52317172264517,327,237,343,222,309,254
14,2021-04-08 18:46:20,2021-04-08 18:46:24.360000000,366.72538793702404,204.62506895098667,309,254,386,201,374,188
15,2021-04-08 18:46:30,2021-04-08 18:46:33.025000000,335.50439779033013,241.27690759810426,323,265,343,222,327,237
16,2021-04-08 18:46:40,2021-04-08 18:46:45.390079317,359.83374396990274,218.9105797062623,393,169,309,254,423,168
17,2021-04-08 18:46:50,2021-04-08 18:46:53.940476233,378.043703104358,199.26190639155595,366,220,374,188,423,168
18,2021-04-08 18:52:00,2021-04-08 18:52:02.952380928,486.0617901873335,160.29582921168836,484,145,492,185,467,185
19,2021-04-08 18:52:10,2021-04-08 18:52:14.552777813,488.78156125865934,171.56288675412702,494,169,467,185,512,170
20,2021-04-08 18:52:20,2021-04-08 18:52:24.190476160,484.62392295300293,172.08780309492553,467,185,475,169,512,170
21,2021-04-08 18:52:30,2021-04-08 18:52:33.867619021,493.02979176252836,159.77088739178294,475,169,509,146,512,170
22,2021-04-08 18:52:40,2021-04-08 18:52:44.738095214,489.37287581912244,164.8733477452922,512,170,494,169,475,169
23,2021-04-08 18:52:50,2021-04-08 18:52:53.833333321,504.65154682258225,160.43492528557076,494,169,512,170,509,146
24,2021-04-08 18:53:00,2021-04-08 18:53:04.550000000,508.8013732791007,157.85747836458296,527,145,484,145,512,170
25,2021-04-08 18:53:10,2021-04-08 18:53:14.483333274,487.66604797451885,172.6132976282655,467,185,512,170,494,169
26,2021-04-08 18:53:20,2021-04-08 18:53:25.024999979,497.5813561620214,160.98391296757947,484,145,467,185,485,156
27,2021-04-08 18:53:30,2021-04-08 18:53:34.452380965,487.877867512059,170.2237957983511,512,170,467,185,484,145
28,2021-04-08 18:53:40,2021-04-08 18:53:44.666666667,497.40567122602806,154.46743509797494,485,156,484,145,527,145
29,2021-04-08 18:53:50,2021-04-08 18:53:55.091666688,481.6833321269073,164.7330909566571,484,145,494,169,475,169
30,2021-04-08 18:48:00,2021-04-08 18:48:02.277777835,354.67984032134507,216.76867541522677,386,201,343,222,309,254
31,2021-04-08 18:48:10,2021-04-08 18:48:14.033333333,391.02936824586476,191.92654956667022,391,146,402,247,386,201
32,2021-04-08 18:48:20,2021-04-08 18:48:25.740000000,402.2546122605624,181.51107457134532,402,187,393,169,423,168
33,2021-04-08 18:48:30,2021-04-08 18:48:36.000000000,383.8209772488196,176.0324164015628,391,146,374,188,355,209
34,2021-04-08 18:48:40,2021-04-08 18:48:44.666666667,369.3271135031963,212.4345384581689,323,265,393,159,355,234
35,2021-04-08 18:48:50,2021-04-08 18:48:56.013888853,463.00771222172943,171.8335746982414,452,166,443,186,494,169
36,2021-04-08 18:49:00,2021-04-08 18:49:05.333333333,388.94219335304786,177.5812173504141,393,169,374,188,391,146
37,2021-04-08 18:49:10,2021-04-08 18:49:13.540000000,399.1719060569415,167.561072637579,402,187,393,159,423,168
38,2021-04-08 18:49:20,2021-04-08 18:49:25.146666650,389.76229138264677,181.8395258953471,402,187,391,146,393,159
39,2021-04-08 18:49:30,2021-04-08 18:49:33.316666667,396.8925877104511,168.68987536196752,423,168,391,146,374,188
40,2021-04-08 18:49:40,2021-04-08 18:49:44.700000000,402.1401559947209,171.2279866674015,402,187,393,169,374,188
41,2021-04-08 18:49:50,2021-04-08 18:49:55.099999949,390.6414000862812,189.23684588000663,366,220,423,168,374,188
42,2021-04-08 18:50:00,2021-04-08 18:50:03.624999936,390.77440265520323,196.55544954875094,402,187,386,201,393,169
43,2021-04-08 18:50:10,2021-04-08 18:50:15.166666581,393.0852418001542,202.4779631912953,443,186,343,222,414,235
44,2021-04-08 18:50:20,2021-04-08 18:50:24.416666688,371.0166292444398,219.52703184140796,391,146,414,235,309,254
45,2021-04-08 18:50:30,2021-04-08 18:50:33.625000064,388.38721122375523,191.24640227651824,374,188,402,187,423,168
46,2021-04-08 18:50:40,2021-04-08 18:50:44.200000000,384.13085992925403,185.01500363385696,391,146,374,188,402,187
47,2021-04-08 18:50:50,2021-04-08 18:50:55.061111125,419.4055391377228,179.63539639329372,452,166,443,186,374,188
