,time,av_time,x,y,ax,ay,bx,by,cx,cy
0,2021-04-08 18:44:00,2021-04-08 18:44:04.625000000,343,222,,,,,,
1,2021-04-08 18:44:10,2021-04-08 18:44:15.729166656,309,254,,,,,,
2,2021-04-08 18:44:20,2021-04-08 18:44:25.404761920,423,168,,,,,,
3,2021-04-08 18:44:30,2021-04-08 18:44:35.494444459,393,169,,,,,,
4,2021-04-08 18:44:40,2021-04-08 18:44:44.083333333,374,188,,,,,,
5,2021-04-08 18:44:50,2021-04-08 18:44:54.166666638,484,145,,,,,,
6,2021-04-08 18:45:00,2021-04-08 18:45:04.575000021,484,145,,,,,,
7,2021-04-08 18:45:10,2021-04-08 18:45:14.270000026,484,145,,,,,,
8,2021-04-08 18:45:20,2021-04-08 18:45:25.875000000,544,187,,,,,,
9,2021-04-08 18:45:30,2021-04-08 18:45:32.583333376,475,169,,,,,,
10,2021-04-08 18:45:40,2021-04-08 18:45:44.374999979,443,186,,,,,,
11,2021-04-08 18:45:50,2021-04-08 18:45:54.000000000,327,237,,,,,,
12,2021-04-08 18:46:00,2021-04-08 18:46:04.200000000,391,146,,,,,,
13,2021-04-08 18:46:10,2021-04-08 18:46:15.266666650,323,265,,,,,,
14,2021-04-08 18:46:20,2021-04-08 18:46:25.416666624,393,169,,,,,,
15,2021-04-08 18:46:30,2021-04-08 18:46:33.444444501,343,222,,,,,,
16,2021-04-08 18:46:40,2021-04-08 18:46:46.000000000,355,209,,,,,,
17,2021-04-08 18:46:50,2021-04-08 18:46:54.549999974,464,162,,,,,,
18,2021-04-08 18:52:00,2021-04-08 18:52:03.416666688,464,162,,,,,,
19,2021-04-08 18:52:10,2021-04-08 18:52:15.972222208,484,145,,,,,,
20,2021-04-08 18:52:20,2021-04-08 18:52:23.666666624,484,145,,,,,,
21,2021-04-08 18:52:30,2021-04-08 18:52:35.276190515,492,185,,,,,,
22,2021-04-08 18:52:40,2021-04-08 18:52:43.575396821,484,145,,,,,,
23,2021-04-08 18:52:50,2021-04-08 18:52:55.766666701,452,166,,,,,,
24,2021-04-08 18:53:00,2021-04-08 18:53:04.458333248,475,169,,,,,,
25,2021-04-08 18:53:10,2021-04-08 18:53:15.674999936,484,145,,,,,,
26,2021-04-08 18:53:20,2021-04-08 18:53:23.836111104,484,145,,,,,,
27,2021-04-08 18:53:30,2021-04-08 18:53:33.620000000,484,145,,,,,,
28,2021-04-08 18:53:40,2021-04-08 18:53:44.712585033,464,162,,,,,,
29,2021-04-08 18:53:50,2021-04-08 18:53:53.749999974,467,185,,,,,,
30,2021-04-08 18:48:00,2021-04-08 18:48:03.133333333,423,168,,,,,,
31,2021-04-08 18:48:10,2021-04-08 18:48:14.583333291,323,265,,,,,,
32,2021-04-08 18:48:20,2021-04-08 18:48:26.333333333,391,146,,,,,,
33,2021-04-08 18:48:30,2021-04-08 18:48:33.187499968,391,146,,,,,,
34,2021-04-08 18:48:40,2021-04-08 18:48:47.222222165,374,188,,,,,,
35,2021-04-08 18:48:50,2021-04-08 18:48:54.833333376,494,169,,,,,,
36,2021-04-08 18:49:00,2021-04-08 18:49:03.722222165,440,146,,,,,,
37,2021-04-08 18:49:10,2021-04-08 18:49:16.000000000,494,169,,,,,,
38,2021-04-08 18:49:20,2021-04-08 18:49:25.083333312,423,168,,,,,,
39,2021-04-08 18:49:30,2021-04-08 18:49:34.500000000,443,186,,,,,,
40,2021-04-08 18:49:40,2021-04-08 18:49:41.666666667,414,146,,,,,,
41,2021-04-08 18:49:50,2021-04-08 18:49:53.400000000,386,235,,,,,,
42,2021-04-08 18:50:00,2021-04-08 18:50:01.333333248,402,247,,,,,,
43,2021-04-08 18:50:10,2021-04-08 18:50:14.857142784,413,159,,,,,,
44,2021-04-08 18:50:20,2021-04-08 18:50:24.600000000,386,201,,,,,,
45,2021-04-08 18:50:30,2021-04-08 18:50:34.375000064,393,159,,,,,,
46,2021-04-08 18:50:40,2021-04-08 18:50:46.500000000,391,146,,,,,,
47,2021-04-08 18:50:50,2021-04-08 18:50:54.099999872,374,188,,,,,,
