,time,av_time,x,y,ax,ay,bx,by,cx,cy
0,2021-04-08 18:44:00,2021-04-08 18:44:04.111111168,343,222,,,,,,
1,2021-04-08 18:44:10,2021-04-08 18:44:14.500000000,386,201,,,,,,
2,2021-04-08 18:44:20,2021-04-08 18:44:25.688095232,423,168,,,,,,
3,2021-04-08 18:44:30,2021-04-08 18:44:35.800000000,386,235,,,,,,
4,2021-04-08 18:44:40,2021-04-08 18:44:45.895238107,393,169,,,,,,
5,2021-04-08 18:44:50,2021-04-08 18:44:54.233333299,512,170,,,,,,
6,2021-04-08 18:45:00,2021-04-08 18:45:04.966666709,512,170,,,,,,
7,2021-04-08 18:45:10,2021-04-08 18:45:13.333333350,512,170,,,,,,
8,2021-04-08 18:45:20,2021-04-08 18:45:22.250000064,494,169,,,,,,
9,2021-04-08 18:45:30,2021-04-08 18:45:34.916666688,484,145,,,,,,
10,2021-04-08 18:45:40,2021-04-08 18:45:44.791666688,512,170,,,,,,
11,2021-04-08 18:45:50,2021-04-08 18:45:54.666666581,402,187,,,,,,
12,2021-04-08 18:46:00,2021-04-08 18:46:06.750000000,386,235,,,,,,
13,2021-04-08 18:46:10,2021-04-08 18:46:13.166666752,355,234,,,,,,
14,2021-04-08 18:46:20,2021-04-08 18:46:24.000000000,423,168,,,,,,
15,2021-04-08 18:46:30,2021-04-08 18:46:34.253333402,423,168,,,,,,
16,2021-04-08 18:46:40,2021-04-08 18:46:44.840000000,355,234,,,,,,
17,2021-04-08 18:46:50,2021-04-08 18:46:52.986111189,355,234,,,,,,
18,2021-04-08 18:52:00,2021-04-08 18:52:04.450000043,512,170,,,,,,
19,2021-04-08 18:52:10,2021-04-08 18:52:14.187500032,514,187,,,,,,
20,2021-04-08 18:52:20,2021-04-08 18:52:24.919642816,561,187,,,,,,
21,2021-04-08 18:52:30,2021-04-08 18:52:34.723809536,514,187,,,,,,
22,2021-04-08 18:52:40,2021-04-08 18:52:43.283333376,514,187,,,,,,
23,2021-04-08 18:52:50,2021-04-08 18:52:53.375000000,467,185,,,,,,
24,2021-04-08 18:53:00,2021-04-08 18:53:04.400000000,512,170,,,,,,
25,2021-04-08 18:53:10,2021-04-08 18:53:15.733333350,524,162,,,,,,
26,2021-04-08 18:53:20,2021-04-08 18:53:23.922619008,544,187,,,,,,
27,2021-04-08 18:53:30,2021-04-08 18:53:33.361111104,512,170,,,,,,
28,2021-04-08 18:53:40,2021-04-08 18:53:45.958333312,544,187,,,,,,
29,2021-04-08 18:53:50,2021-04-08 18:53:53.531249984,467,185,,,,,,
30,2021-04-08 18:48:00,2021-04-08 18:48:04.142856960,386,235,,,,,,
31,2021-04-08 18:48:10,2021-04-08 18:48:15.483333376,423,168,,,,,,
32,2021-04-08 18:48:20,2021-04-08 18:48:24.200000000,402,187,,,,,,
33,2021-04-08 18:48:30,2021-04-08 18:48:35.666666624,475,169,,,,,,
34,2021-04-08 18:48:40,2021-04-08 18:48:43.335714253,366,220,,,,,,
35,2021-04-08 18:48:50,2021-04-08 18:48:55.333333333,402,187,,,,,,
36,2021-04-08 18:49:00,2021-04-08 18:49:06.033333349,467,185,,,,,,
37,2021-04-08 18:49:10,2021-04-08 18:49:13.833333350,414,146,,,,,,
38,2021-04-08 18:49:20,2021-04-08 18:49:26.000000000,560,169,,,,,,
39,2021-04-08 18:49:30,2021-04-08 18:49:34.658333312,414,146,,,,,,
40,2021-04-08 18:49:40,2021-04-08 18:49:43.952380928,475,169,,,,,,
41,2021-04-08 18:49:50,2021-04-08 18:49:53.400000000,366,220,,,,,,
42,2021-04-08 18:50:00,2021-04-08 18:50:04.500000000,355,209,,,,,,
43,2021-04-08 18:50:10,2021-04-08 18:50:14.999999744,391,146,,,,,,
44,2021-04-08 18:50:20,2021-04-08 18:50:23.611111168,475,169,,,,,,
45,2021-04-08 18:50:30,2021-04-08 18:50:34.624999936,402,247,,,,,,
46,2021-04-08 18:50:40,2021-04-08 18:50:46.166666624,393,169,,,,,,
47,2021-04-08 18:50:50,2021-04-08 18:50:55.937500032,414,146,,,,,,
