,time,av_time,x,y,ax,ay,bx,by,cx,cy
0,2021-04-08 18:44:00,2021-04-08 18:44:07.500000000,364.6622205639279,230.99404673266264,327,237,414,235,386,235
1,2021-04-08 18:44:15,2021-04-08 18:44:24.035714240,365.26357813844805,228.09285742956047,327,237,414,235,323,265
2,2021-04-08 18:44:30,2021-04-08 18:44:36.208333312,371.2719058326133,220.3270980769412,386,201,327,237,414,235
3,2021-04-08 18:44:45,2021-04-08 18:44:54.343750016,517.0199057065604,170.21586338579513,514,187,528,185,484,145
4,2021-04-08 18:45:00,2021-04-08 18:45:07.429999974,526.7994910181324,155.5721533841764,484,145,509,146,560,145
5,2021-04-08 18:45:15,2021-04-08 18:45:20.500000000,524.391469975818,161.6123405479305,524,162,510,157,509,146
6,2021-04-08 18:45:30,2021-04-08 18:45:34.666666667,500.4959872910281,155.97277881403184,524,162,510,157,484,145
7,2021-04-08 18:45:45,2021-04-08 18:45:50.972222208,464.3082863920354,175.67506066992974,440,146,443,186,475,169
8,2021-04-08 18:46:00,2021-04-08 18:46:04.138888832,378.98143776306307,198.59252406428865,355,209,366,220,386,201
9,2021-04-08 18:46:15,2021-04-08 18:46:20.833333376,363.88031509116377,231.1701362937848,327,237,414,235,323,265
10,2021-04-08 18:46:30,2021-04-08 18:46:35.208333312,366.88757793253217,225.8595265899778,386,201,327,237,414,235
11,2021-04-08 18:46:45,2021-04-08 18:46:54.648299301,432.50352804904566,176.54594680543502,402,187,443,186,393,169
12,2021-04-08 18:52:00,2021-04-08 18:52:07.252777813,516.9389935027009,177.4524038890432,467,185,514,187,528,185
13,2021-04-08 18:52:15,2021-04-08 18:52:21.164814848,504.86782713444893,176.0948252060234,467,185,452,166,514,187
14,2021-04-08 18:52:30,2021-04-08 18:52:39.920000000,476.94772989738857,163.80275700340354,452,166,443,186,485,156
15,2021-04-08 18:52:45,2021-04-08 18:52:52.458333312,482.7969941844694,162.38725965849937,524,162,440,157,464,162
16,2021-04-08 18:53:00,2021-04-08 18:53:09.416666688,501.56746158988176,170.19765825713307,452,166,484,145,475,169
17,2021-04-08 18:53:15,2021-04-08 18:53:21.200000000,549.6392253865007,169.06196316500782,637,168,464,162,660,170
18,2021-04-08 18:53:30,2021-04-08 18:53:37.837500032,473.6558420617723,163.46630898910783,512,170,464,162,494,169
19,2021-04-08 18:53:45,2021-04-08 18:53:52.533333332,480.8292497375746,169.32902758764556,464,162,440,146,514,187
20,2021-04-08 18:48:00,2021-04-08 18:48:06.444444288,399.76029904366953,198.2933298738148,400,219,413,159,414,235
21,2021-04-08 18:48:15,2021-04-08 18:48:20.933333333,375.46471778138624,228.5296108054689,386,235,400,219,402,247
22,2021-04-08 18:48:30,2021-04-08 18:48:39.100000000,401.5331676293959,225.21832996951247,400,219,414,235,386,235
23,2021-04-08 18:48:45,2021-04-08 18:48:54.425000000,431.20325287034507,177.14859471270842,443,186,452,166,393,169
24,2021-04-08 18:49:00,2021-04-08 18:49:04.183333376,423.96579004805824,164.21029891343662,374,188,414,146,393,159
25,2021-04-08 18:49:15,2021-04-08 18:49:21.550000000,393.5240668960027,180.53604215651063,355,209,440,146,414,146
26,2021-04-08 18:49:30,2021-04-08 18:49:38.888888917,438.3686422477636,162.77136809544885,443,186,475,169,440,146
27,2021-04-08 18:49:45,2021-04-08 18:49:51.166666752,425.5561177435765,186.95895919736145,443,186,464,162,374,188
28,2021-04-08 18:50:00,2021-04-08 18:50:04.166666496,402.7682102603295,204.935383936543,413,159,402,247,400,219
29,2021-04-08 18:50:15,2021-04-08 18:50:23.250000000,532.6442789571056,200.11914188296518,413,159,400,219,665,198
30,2021-04-08 18:50:30,2021-04-08 18:50:34.785714304,600.9168004015878,199.1422769090897,684,178,679,224,608,208
31,2021-04-08 18:50:45,2021-04-08 18:50:53.900000000,434.92381282546233,179.67122731441174,374,188,393,159,475,169
