,time,av_time,x,y,ax,ay,bx,by,cx,cy
0,2021-04-08 18:44:00,2021-04-08 18:44:07.500000000,375.0,245.33333333333334,414,235,402,247,309,254
1,2021-04-08 18:44:15,2021-04-08 18:44:24.035714240,350.0,242.0,414,235,309,254,327,237
2,2021-04-08 18:44:30,2021-04-08 18:44:36.208333312,350.0,242.0,414,235,309,254,327,237
3,2021-04-08 18:44:45,2021-04-08 18:44:54.343750016,512.0,164.0,484,145,528,185,524,162
4,2021-04-08 18:45:00,2021-04-08 18:45:07.429999974,521.0,153.0,509,146,510,157,544,156
5,2021-04-08 18:45:15,2021-04-08 18:45:20.500000000,528.6666666666666,154.66666666666666,533,162,509,146,544,156
6,2021-04-08 18:45:30,2021-04-08 18:45:34.666666667,502.0,151.0,464,145,533,162,509,146
7,2021-04-08 18:45:45,2021-04-08 18:45:50.972222208,481.3333333333333,171.0,452,166,528,185,464,162
8,2021-04-08 18:46:00,2021-04-08 18:46:04.138888832,396.6666666666667,180.0,386,235,391,146,413,159
9,2021-04-08 18:46:15,2021-04-08 18:46:20.833333376,375.0,245.33333333333334,414,235,309,254,402,247
10,2021-04-08 18:46:30,2021-04-08 18:46:35.208333312,348.6666666666667,251.33333333333334,414,235,309,254,323,265
11,2021-04-08 18:46:45,2021-04-08 18:46:54.648299301,406.0,174.66666666666666,423,168,402,187,393,169
12,2021-04-08 18:52:00,2021-04-08 18:52:07.252777813,492.6666666666667,174.33333333333334,514,187,452,166,512,170
13,2021-04-08 18:52:15,2021-04-08 18:52:21.164814848,497.6666666666667,180.66666666666666,514,187,467,185,512,170
14,2021-04-08 18:52:30,2021-04-08 18:52:39.920000000,484.3333333333333,165.66666666666666,492,185,452,166,509,146
15,2021-04-08 18:52:45,2021-04-08 18:52:52.458333312,462.6666666666667,151.0,440,146,464,162,484,145
16,2021-04-08 18:53:00,2021-04-08 18:53:09.416666688,506.0,180.66666666666666,514,187,492,185,512,170
17,2021-04-08 18:53:15,2021-04-08 18:53:21.200000000,477.6666666666667,166.66666666666666,464,162,475,169,494,169
18,2021-04-08 18:53:30,2021-04-08 18:53:37.837500032,465.3333333333333,164.33333333333334,440,146,464,162,492,185
19,2021-04-08 18:53:45,2021-04-08 18:53:52.533333332,494.6666666666667,177.33333333333334,528,185,492,185,464,162
20,2021-04-08 18:48:00,2021-04-08 18:48:06.444444288,405.0,208.33333333333334,413,159,402,247,400,219
21,2021-04-08 18:48:15,2021-04-08 18:48:20.933333333,405.3333333333333,233.66666666666666,414,235,402,247,400,219
22,2021-04-08 18:48:30,2021-04-08 18:48:39.100000000,405.0,208.33333333333334,413,159,400,219,402,247
23,2021-04-08 18:48:45,2021-04-08 18:48:54.425000000,423.0,180.0,443,186,374,188,452,166
24,2021-04-08 18:49:00,2021-04-08 18:49:04.183333376,415.6666666666667,150.33333333333334,440,146,393,159,414,146
25,2021-04-08 18:49:15,2021-04-08 18:49:21.550000000,390.0,180.0,393,159,391,146,386,235
26,2021-04-08 18:49:30,2021-04-08 18:49:38.888888917,415.6666666666667,150.33333333333334,393,159,414,146,440,146
27,2021-04-08 18:49:45,2021-04-08 18:49:51.166666752,405.0,208.33333333333334,413,159,402,247,400,219
28,2021-04-08 18:50:00,2021-04-08 18:50:04.166666496,405.0,208.33333333333334,413,159,402,247,400,219
29,2021-04-08 18:50:15,2021-04-08 18:50:23.250000000,405.0,208.33333333333334,413,159,402,247,400,219
30,2021-04-08 18:50:30,2021-04-08 18:50:34.785714304,405.0,208.33333333333334,413,159,402,247,400,219
31,2021-04-08 18:50:45,2021-04-08 18:50:53.900000000,447.6666666666667,197.0,528,185,413,159,402,247
