,time,av_time,x,y,ax,ay,bx,by,cx,cy
0,2021-04-08 18:44:00,2021-04-08 18:44:05.636363776,369.82330056313674,210.11292217849754,374,188,386,235,355,209
1,2021-04-08 18:44:15,2021-04-08 18:44:23.885714330,640.2624990254677,188.05321683817465,597,169,660,170,679,224
2,2021-04-08 18:44:30,2021-04-08 18:44:41.000000000,569.8851838910363,184.0509602835837,579,168,464,162,665,198
3,2021-04-08 18:44:45,2021-04-08 18:44:50.930555520,609.0910360712138,172.9765543819826,485,156,684,178,637,168
4,2021-04-08 18:45:00,2021-04-08 18:45:06.100000000,563.7222219832438,176.551259827565,559,156,514,187,665,198
5,2021-04-08 18:45:15,2021-04-08 18:45:22.369047637,483.500121423509,173.43964494715118,494,169,452,166,492,185
6,2021-04-08 18:45:30,2021-04-08 18:45:35.516666709,504.55406761679046,157.4269852581478,484,145,485,156,509,146
7,2021-04-08 18:45:45,2021-04-08 18:45:49.645833280,422.01638622143025,217.7071144890532,492,185,514,187,402,247
8,2021-04-08 18:46:00,2021-04-08 18:46:09.250000000,376.61400814838044,198.82352716624968,393,169,386,201,366,220
9,2021-04-08 18:46:15,2021-04-08 18:46:21.773809536,553.5645821558852,174.25677164211916,579,168,543,145,544,187
10,2021-04-08 18:46:30,2021-04-08 18:46:36.983333291,422.92533987981926,218.47607228511382,327,237,309,254,597,169
11,2021-04-08 18:46:45,2021-04-08 18:46:52.244444480,518.0237340896426,154.5750347382027,560,145,484,145,464,162
12,2021-04-08 18:52:00,2021-04-08 18:52:08.761904640,542.1330331904875,152.15103961443563,484,145,567,146,559,156
13,2021-04-08 18:52:15,2021-04-08 18:52:21.299107136,593.9138589504859,180.5737332321002,684,178,514,187,464,162
14,2021-04-08 18:52:30,2021-04-08 18:52:37.900000064,496.5780357376462,171.99563016983365,494,169,514,187,452,166
15,2021-04-08 18:52:45,2021-04-08 18:52:50.803571456,503.4676687089925,172.50619556199024,494,169,512,170,514,187
16,2021-04-08 18:53:00,2021-04-08 18:53:06.000000000,544.38290228552,166.55767017817988,544,169,544,187,544,156
17,2021-04-08 18:53:15,2021-04-08 18:53:22.986111104,578.1379679231461,168.23818886911064,684,178,485,156,484,145
18,2021-04-08 18:53:30,2021-04-08 18:53:35.484126976,514.6310105216178,169.9590307756304,494,169,514,187,492,185
19,2021-04-08 18:53:45,2021-04-08 18:53:51.128787968,510.3600547019188,174.28882341593788,494,169,514,187,492,185
20,2021-04-08 18:48:00,2021-04-08 18:48:08.100000000,343.2814314250191,247.14738593800817,327,237,323,265,309,254
21,2021-04-08 18:48:15,2021-04-08 18:48:20.733333333,546.201394127483,171.39381699699277,467,185,544,187,582,158
22,2021-04-08 18:48:30,2021-04-08 18:48:38.875000064,459.6006691987435,187.18717295154715,355,234,510,157,544,169
23,2021-04-08 18:48:45,2021-04-08 18:48:51.875000013,551.1975036940447,172.02114235787167,579,168,593,146,492,185
24,2021-04-08 18:49:00,2021-04-08 18:49:07.559999949,568.2801708640819,183.3496623228971,560,169,665,198,413,159
25,2021-04-08 18:49:15,2021-04-08 18:49:20.800000000,477.3552771157653,189.54210455630422,561,187,355,234,527,145
26,2021-04-08 18:49:30,2021-04-08 18:49:37.304166592,504.29840183743664,196.48516255758366,528,185,595,157,585,185
27,2021-04-08 18:49:45,2021-04-08 18:49:47.452381013,396.39485627761735,227.80110699623538,402,247,327,237,309,254
28,2021-04-08 18:50:00,2021-04-08 18:50:05.833333248,394.37957087847155,200.57542310742787,393,169,402,187,414,235
29,2021-04-08 18:50:15,2021-04-08 18:50:23.233333333,537.3707714329411,174.8543369411544,543,145,544,187,524,162
30,2021-04-08 18:50:30,2021-04-08 18:50:39.500000000,485.70324245758025,166.25147103867846,561,187,527,145,440,146
31,2021-04-08 18:50:45,2021-04-08 18:50:52.083333248,531.4890339387723,181.08346982428247,561,187,544,169,524,162
