,time,av_time,x,y,ax,ay,bx,by,cx,cy
0,2021-04-08 18:44:00,2021-04-08 18:44:10.472222208,337.8333333333333,243.83333333333334,327,237,309,254,343,222
1,2021-04-08 18:44:20,2021-04-08 18:44:31.261904768,351.1666666666667,229.16666666666666,309,254,323,265,386,201
2,2021-04-08 18:44:40,2021-04-08 18:44:49.057500006,425.3333333333333,177.0,393,169,443,186,423,168
3,2021-04-08 18:45:00,2021-04-08 18:45:08.958994802,496.1666666666667,159.0,484,145,512,170,475,169
4,2021-04-08 18:45:20,2021-04-08 18:45:27.546031726,480.6666666666667,156.0,440,146,484,145,464,162
5,2021-04-08 18:45:40,2021-04-08 18:45:47.241098528,449.5,167.5,475,169,494,169,443,186
6,2021-04-08 18:46:00,2021-04-08 18:46:11.075000000,337.8333333333333,243.83333333333334,327,237,343,222,309,254
7,2021-04-08 18:46:20,2021-04-08 18:46:29.913919415,347.6666666666667,232.33333333333334,309,254,323,265,386,201
8,2021-04-08 18:46:40,2021-04-08 18:46:51.224230758,408.6666666666667,187.33333333333334,393,169,423,168,443,186
9,2021-04-08 18:52:00,2021-04-08 18:52:10.588888875,541.6666666666666,179.33333333333334,524,162,514,187,528,185
10,2021-04-08 18:52:20,2021-04-08 18:52:30.191220224,530.8333333333334,175.16666666666666,560,169,561,187,544,169
11,2021-04-08 18:52:40,2021-04-08 18:52:49.893750016,530.8333333333334,175.16666666666666,544,169,560,169,512,170
12,2021-04-08 18:53:00,2021-04-08 18:53:09.465151460,525.8333333333334,164.0,561,187,512,170,544,169
13,2021-04-08 18:53:20,2021-04-08 18:53:27.569552480,527.6666666666666,158.66666666666666,544,156,543,145,509,146
14,2021-04-08 18:53:40,2021-04-08 18:53:49.784895808,511.1666666666667,160.16666666666666,512,170,544,169,494,169
15,2021-04-08 18:48:00,2021-04-08 18:48:13.656565675,373.0,237.83333333333334,414,235,402,247,327,237
16,2021-04-08 18:48:20,2021-04-08 18:48:26.950000000,398.6666666666667,191.33333333333334,414,235,386,201,402,187
17,2021-04-08 18:48:40,2021-04-08 18:48:50.308712160,408.5,182.83333333333334,393,169,443,186,423,168
18,2021-04-08 18:49:00,2021-04-08 18:49:10.656249984,399.6666666666667,181.5,402,187,374,188,366,220
19,2021-04-08 18:49:20,2021-04-08 18:49:31.662301611,402.3333333333333,163.83333333333334,393,159,414,146,440,157
20,2021-04-08 18:49:40,2021-04-08 18:49:46.944444459,455.6666666666667,156.83333333333334,440,146,464,162,414,146
21,2021-04-08 18:50:00,2021-04-08 18:50:08.400000000,373.0,237.83333333333334,402,247,400,219,414,235
22,2021-04-08 18:50:20,2021-04-08 18:50:27.443181824,504.3333333333333,184.33333333333334,413,159,414,235,567,146
23,2021-04-08 18:50:40,2021-04-08 18:50:51.478571447,449.5,165.83333333333334,440,146,393,159,443,186
