,time,av_time,x,y,ax,ay,bx,by,cx,cy
0,2021-04-08 18:44:00,2021-04-08 18:44:11.357142784,387.14388087193186,214.23558782840198,327,237,414,235,423,168
1,2021-04-08 18:44:20,2021-04-08 18:44:29.820000000,353.7844838075824,226.55565368572115,423,168,309,254,323,265
2,2021-04-08 18:44:40,2021-04-08 18:44:50.754629632,420.62413982468155,174.73352403672942,443,186,423,168,393,169
3,2021-04-08 18:45:00,2021-04-08 18:45:09.695000013,521.9284556725883,160.6337894272537,509,146,524,162,544,187
4,2021-04-08 18:45:20,2021-04-08 18:45:30.819444395,492.3772568560047,152.69600091110806,484,145,485,156,524,162
5,2021-04-08 18:45:40,2021-04-08 18:45:51.291666624,375.0083215532321,197.10118110014312,366,220,374,188,393,169
6,2021-04-08 18:46:00,2021-04-08 18:46:12.100000000,363.4086688653298,225.28872035308643,386,235,343,222,355,209
7,2021-04-08 18:46:20,2021-04-08 18:46:31.634920667,329.3313711030175,250.94095881607794,323,265,309,254,386,201
8,2021-04-08 18:46:40,2021-04-08 18:46:50.226190482,395.5564537031769,175.8167769395896,374,188,423,168,393,169
9,2021-04-08 18:52:00,2021-04-08 18:52:07.504365056,489.3694415783042,179.43288303636376,467,185,512,170,492,185
10,2021-04-08 18:52:20,2021-04-08 18:52:29.435714304,508.10205906129767,175.78704642881743,512,170,514,187,494,169
11,2021-04-08 18:52:40,2021-04-08 18:52:49.295669888,497.5955345992026,163.67871146190765,494,169,512,170,484,145
12,2021-04-08 18:53:00,2021-04-08 18:53:10.324999987,496.47328330477654,171.23042136786634,492,185,512,170,484,145
13,2021-04-08 18:53:20,2021-04-08 18:53:29.572222165,486.2243291337568,166.03726079500103,484,145,467,185,512,170
14,2021-04-08 18:53:40,2021-04-08 18:53:49.197619046,494.13165819673804,158.95294145497996,484,145,494,169,512,170
15,2021-04-08 18:48:00,2021-04-08 18:48:11.000000000,382.47637647322944,215.83330037047006,386,235,374,188,386,201
16,2021-04-08 18:48:20,2021-04-08 18:48:29.775000013,390.83589339598575,190.51631525021847,402,187,374,188,386,201
17,2021-04-08 18:48:40,2021-04-08 18:48:53.950000000,475.1615275941991,168.11094716966227,494,169,475,169,452,166
18,2021-04-08 18:49:00,2021-04-08 18:49:10.366666650,404.0112353968457,185.05753031059567,402,187,423,168,386,201
19,2021-04-08 18:49:20,2021-04-08 18:49:29.599999936,400.8938575697339,163.5111953028687,393,159,402,187,414,146
20,2021-04-08 18:49:40,2021-04-08 18:49:49.227777792,402.5101024656755,164.38202386221766,393,159,402,187,414,146
21,2021-04-08 18:50:00,2021-04-08 18:50:12.900000000,394.08590387125355,182.212921522397,393,169,402,187,386,201
22,2021-04-08 18:50:20,2021-04-08 18:50:27.642857088,492.1839450317986,169.26414286445214,494,169,475,169,512,170
23,2021-04-08 18:50:40,2021-04-08 18:50:51.970238080,388.40300220686464,181.25466235426876,374,188,393,169,402,187
