,time,av_time,x,y,ax,ay,bx,by,cx,cy
0,2021-04-08 18:44:00,2021-04-08 18:44:10.750000000,363.8333333333333,230.5,414,235,309,254,327,237
1,2021-04-08 18:44:20,2021-04-08 18:44:30.385416704,361.5833333333333,234.0,309,254,323,265,327,237
2,2021-04-08 18:44:40,2021-04-08 18:44:51.131111117,464.3333333333333,175.66666666666666,443,186,452,166,393,169
3,2021-04-08 18:45:00,2021-04-08 18:45:09.713333248,529.1666666666666,157.25,509,146,510,157,544,156
4,2021-04-08 18:45:20,2021-04-08 18:45:27.416666688,516.0833333333334,162.5,533,162,509,146,510,157
5,2021-04-08 18:45:40,2021-04-08 18:45:50.283333291,451.3333333333333,180.83333333333334,528,185,413,159,402,247
6,2021-04-08 18:46:00,2021-04-08 18:46:09.106060629,361.75,226.75,386,235,343,222,355,209
7,2021-04-08 18:46:20,2021-04-08 18:46:32.541666688,361.5833333333333,234.0,309,254,414,235,323,265
8,2021-04-08 18:46:40,2021-04-08 18:46:53.448809509,433.25,177.5,423,168,402,187,393,169
9,2021-04-08 18:52:00,2021-04-08 18:52:10.088888875,531.0,175.83333333333334,514,187,528,185,467,185
10,2021-04-08 18:52:20,2021-04-08 18:52:24.821428480,494.0833333333333,173.16666666666666,452,166,514,187,492,185
11,2021-04-08 18:52:40,2021-04-08 18:52:46.924999979,486.1666666666667,167.83333333333334,452,166,443,186,492,185
12,2021-04-08 18:53:00,2021-04-08 18:53:12.668571443,495.75,169.33333333333334,492,185,512,170,494,169
13,2021-04-08 18:53:20,2021-04-08 18:53:28.194047590,514.1666666666666,168.25,514,187,528,185,512,170
14,2021-04-08 18:53:40,2021-04-08 18:53:48.479166592,462.75,163.25,440,146,464,162,492,185
15,2021-04-08 18:48:00,2021-04-08 18:48:11.083333291,366.4166666666667,227.75,414,235,402,247,400,219
16,2021-04-08 18:48:20,2021-04-08 18:48:27.700000000,662.75,191.25,679,224,694,222,669,163
17,2021-04-08 18:48:40,2021-04-08 18:48:52.645833344,432.75,188.83333333333334,443,186,374,188,393,169
18,2021-04-08 18:49:00,2021-04-08 18:49:06.815476224,429.3333333333333,163.08333333333334,440,146,393,159,414,146
19,2021-04-08 18:49:20,2021-04-08 18:49:28.975000064,569.0833333333334,217.91666666666666,393,159,391,146,386,235
20,2021-04-08 18:49:40,2021-04-08 18:49:47.041666688,454.5833333333333,161.25,440,146,414,146,440,157
21,2021-04-08 18:50:00,2021-04-08 18:50:12.722222208,475.4166666666667,209.0,413,159,402,247,400,219
22,2021-04-08 18:50:20,2021-04-08 18:50:28.638888875,559.5833333333334,207.0,413,159,402,247,400,219
23,2021-04-08 18:50:40,2021-04-08 18:50:53.545454507,441.5,181.08333333333334,402,247,413,159,528,185
