,time,av_time,x,y,ax,ay,bx,by,cx,cy
0,2021-04-08 18:44:00,2021-04-08 18:44:12.200000000,317.19519828819966,246.26009050558923,,,,,,
1,2021-04-08 18:44:20,2021-04-08 18:44:29.983333325,340.57940242899616,230.52845790635678,309.0,254.0,386.0,201.0,343.0,222.0
2,2021-04-08 18:44:40,2021-04-08 18:44:51.447619072,419.81099520418593,175.28390824736945,443.0,186.0,393.0,169.0,423.0,168.0
3,2021-04-08 18:45:00,2021-04-08 18:45:08.914880896,575.4928419382205,178.92948831430084,579.0,168.0,585.0,185.0,561.0,187.0
4,2021-04-08 18:45:20,2021-04-08 18:45:28.822916672,440.0,151.3345997063525,,,,,,
5,2021-04-08 18:45:40,2021-04-08 18:45:47.166666667,486.1974549330229,176.5792384213913,452.0,166.0,528.0,185.0,492.0,185.0
6,2021-04-08 18:46:00,2021-04-08 18:46:14.090909099,366.61115034617325,236.08939884261673,,,,,,
7,2021-04-08 18:46:20,2021-04-08 18:46:29.185185195,351.11871163005264,241.54872958239173,327.0,237.0,414.0,235.0,309.0,254.0
8,2021-04-08 18:46:40,2021-04-08 18:46:50.727777792,378.16421307498086,190.20456456022055,374.0,188.0,393.0,169.0,366.0,220.0
9,2021-04-08 18:52:00,2021-04-08 18:52:11.216666624,574.8765220425887,179.0568991257323,579.0,168.0,561.0,187.0,585.0,185.0
10,2021-04-08 18:52:20,2021-04-08 18:52:29.866666688,505.86791063690123,185.00000000000003,,,,,,
11,2021-04-08 18:52:40,2021-04-08 18:52:47.460000000,484.6804596921472,169.0,,,,,,
12,2021-04-08 18:53:00,2021-04-08 18:53:11.233333299,526.2381962168514,182.20803897396115,528.0,185.0,514.0,187.0,544.0,169.0
13,2021-04-08 18:53:20,2021-04-08 18:53:27.875000000,499.2162984652087,185.65602713320078,,,,,,
14,2021-04-08 18:53:40,2021-04-08 18:53:46.947420672,496.45593997497485,162.57470652748628,494.0,169.0,512.0,170.0,484.0,145.0
15,2021-04-08 18:48:00,2021-04-08 18:48:05.500000000,399.2388483646765,150.86841039730888,,,,,,
16,2021-04-08 18:48:20,2021-04-08 18:48:30.833333333,403.6637921506841,202.09019007376546,,,,,,
17,2021-04-08 18:48:40,2021-04-08 18:48:51.930555584,432.4360191926347,155.45916304904733,440.0,146.0,393.0,159.0,464.0,162.0
18,2021-04-08 18:49:00,2021-04-08 18:49:07.716666624,416.6427678132657,153.70904822700814,414.0,146.0,440.0,157.0,393.0,159.0
19,2021-04-08 18:49:20,2021-04-08 18:49:26.533333332,416.4105603322917,150.69495512694846,440.0,146.0,393.0,159.0,414.0,146.0
20,2021-04-08 18:49:40,2021-04-08 18:49:47.466666688,411.2752762173965,151.26141687054445,393.0,159.0,414.0,146.0,440.0,146.0
21,2021-04-08 18:50:00,2021-04-08 18:50:10.800000000,405.8062247554052,203.31708421215262,413.0,159.0,400.0,219.0,402.0,247.0
22,2021-04-08 18:50:20,2021-04-08 18:50:26.277777664,405.7630414369415,203.7108879101045,413.0,159.0,402.0,247.0,400.0,219.0
23,2021-04-08 18:50:40,2021-04-08 18:50:51.305555456,404.81378315350156,214.63092398270632,402.0,247.0,413.0,159.0,400.0,219.0
