,time,av_time,x,y,ax,ay,bx,by,cx,cy
0,2021-04-08 18:44:00,2021-04-08 18:44:12.533333248,506.0,158.33333333333334,510,157,544,156,464,162
1,2021-04-08 18:44:20,2021-04-08 18:44:27.562499968,550.0,167.66666666666666,492,185,634,156,524,162
2,2021-04-08 18:44:40,2021-04-08 18:44:51.749999974,330.3333333333333,241.66666666666666,309,254,327,237,355,234
3,2021-04-08 18:45:00,2021-04-08 18:45:08.525000000,519.3333333333334,166.33333333333334,559,156,485,156,514,187
4,2021-04-08 18:45:20,2021-04-08 18:45:30.430555563,398.0,199.33333333333334,343,222,485,156,366,220
5,2021-04-08 18:45:40,2021-04-08 18:45:47.916666624,585.3333333333334,150.0,582,158,593,146,581,146
6,2021-04-08 18:46:00,2021-04-08 18:46:13.136363648,346.0,237.0,386,235,309,254,343,222
7,2021-04-08 18:46:20,2021-04-08 18:46:29.018518443,528.6666666666666,149.66666666666666,510,157,509,146,567,146
8,2021-04-08 18:46:40,2021-04-08 18:46:50.149999974,443.6666666666667,196.33333333333334,579,168,366,220,386,201
9,2021-04-08 18:52:00,2021-04-08 18:52:13.358333312,510.0,162.66666666666666,484,145,561,187,485,156
10,2021-04-08 18:52:20,2021-04-08 18:52:28.933333333,604.0,174.66666666666666,569,155,629,213,614,156
11,2021-04-08 18:52:40,2021-04-08 18:52:48.483333274,604.0,174.66666666666666,629,213,614,156,569,155
12,2021-04-08 18:53:00,2021-04-08 18:53:07.444444501,620.6666666666666,170.33333333333334,665,198,560,145,637,168
13,2021-04-08 18:53:20,2021-04-08 18:53:26.292307712,645.3333333333334,174.0,637,168,634,156,665,198
14,2021-04-08 18:53:40,2021-04-08 18:53:47.349702464,513.3333333333334,161.33333333333334,391,146,512,170,637,168
15,2021-04-08 18:48:00,2021-04-08 18:48:11.666666752,384.3333333333333,197.33333333333334,393,169,374,188,386,235
16,2021-04-08 18:48:20,2021-04-08 18:48:28.500000000,343.0,220.0,393,169,309,254,327,237
17,2021-04-08 18:48:40,2021-04-08 18:48:51.513888939,496.3333333333333,198.66666666666666,309,254,585,185,595,157
18,2021-04-08 18:49:00,2021-04-08 18:49:06.133333333,526.6666666666666,187.0,595,157,585,185,400,219
19,2021-04-08 18:49:20,2021-04-08 18:49:31.500000000,468.0,160.66666666666666,440,146,452,166,512,170
20,2021-04-08 18:49:40,2021-04-08 18:49:45.050000000,540.3333333333334,172.66666666666666,544,169,544,187,533,162
21,2021-04-08 18:50:00,2021-04-08 18:50:10.800000000,376.0,215.33333333333334,414,235,391,146,323,265
22,2021-04-08 18:50:20,2021-04-08 18:50:29.555555328,361.3333333333333,219.33333333333334,402,187,327,237,355,234
23,2021-04-08 18:50:40,2021-04-08 18:50:51.305555456,397.6666666666667,215.33333333333334,327,237,464,162,402,247
