,x,y,x_pf,y_pf,time,av_time
0,373,202,373.52584689470393,201.78073920955092,2021-04-08 18:44:00,2021-04-08 18:44:00.000000000
1,394,236,381.4923881927705,211.25674020751907,2021-04-08 18:44:03,2021-04-08 18:44:04.000000000
2,381,189,381.80867736168864,203.57978949166323,2021-04-08 18:44:06,2021-04-08 18:44:07.250000000
3,348,225,370.7674530577512,210.51810081177706,2021-04-08 18:44:09,2021-04-08 18:44:09.500000000
4,368,211,370.07746681545694,210.34127137701537,2021-04-08 18:44:12,2021-04-08 18:44:13.500000000
5,363,209,369.49607955214134,210.55629817533617,2021-04-08 18:44:15,2021-04-08 18:44:16.000000000
6,468,176,400.3133534026897,199.51980201141825,2021-04-08 18:44:18,2021-04-08 18:44:19.166666667
7,372,199,390.1403329209511,198.57498880618687,2021-04-08 18:44:21,2021-04-08 18:44:22.500000000
8,400,177,394.0967082519145,192.0045162606341,2021-04-08 18:44:24,2021-04-08 18:44:25.333333333
9,395,183,392.9200051847988,188.51905218301545,2021-04-08 18:44:27,2021-04-08 18:44:27.375000000
10,368,203,383.3202615847762,193.64097902330477,2021-04-08 18:44:30,2021-04-08 18:44:31.000000000
11,337,234,369.24500597593567,206.39772782277637,2021-04-08 18:44:33,2021-04-08 18:44:34.000000000
12,338,231,359.4202930949654,214.2571839034717,2021-04-08 18:44:36,2021-04-08 18:44:37.333333333
13,538,180,410.4244414816676,194.18053535321047,2021-04-08 18:44:39,2021-04-08 18:44:39.000000000
14,374,219,396.1358599595036,206.56907404833242,2021-04-08 18:44:42,2021-04-08 18:44:43.166666667
15,370,204,387.5703972931505,205.80139438270618,2021-04-08 18:44:45,2021-04-08 18:44:45.500000000
16,431,184,400.2439439852086,197.17144054022708,2021-04-08 18:44:48,2021-04-08 18:44:49.000000000
17,328,250,375.0941688283031,214.1478141077806,2021-04-08 18:44:51,2021-04-08 18:44:51.333333333
18,498,155,416.46261695233267,190.28962897790274,2021-04-08 18:44:54,2021-04-08 18:44:55.666666581
19,397,185,410.03288172671625,188.386352773682,2021-04-08 18:44:57,2021-04-08 18:44:57.750000000
20,488,163,439.6339106972147,176.77089077037255,2021-04-08 18:45:00,2021-04-08 18:45:01.000000000
21,538,179,471.8158668531512,173.55467498893296,2021-04-08 18:45:03,2021-04-08 18:45:04.250000000
22,511,151,483.68081591104476,163.5288146485752,2021-04-08 18:45:06,2021-04-08 18:45:07.000000000
23,516,171,494.46001814795073,164.00197796957946,2021-04-08 18:45:09,2021-04-08 18:45:09.500000000
24,502,162,497.1723491958017,161.13823813428326,2021-04-08 18:45:12,2021-04-08 18:45:13.333333248
25,498,153,498.6085028801988,154.79799956550693,2021-04-08 18:45:15,2021-04-08 18:45:15.500000000
26,480,175,492.89809264347815,160.08420235391148,2021-04-08 18:45:18,2021-04-08 18:45:18.500000000
27,509,173,499.6978191662977,162.69665971186208,2021-04-08 18:45:21,2021-04-08 18:45:23.000000000
28,532,178,510.90464537117526,166.50061839763208,2021-04-08 18:45:24,2021-04-08 18:45:25.000000000
29,451,181,488.54993418809596,170.72749368084072,2021-04-08 18:45:27,2021-04-08 18:45:29.000000000
30,470,164,481.3519003955257,166.29174886649162,2021-04-08 18:45:30,2021-04-08 18:45:30.000000000
31,489,166,482.91393496270894,165.09228498016623,2021-04-08 18:45:33,2021-04-08 18:45:34.250000000
32,503,157,489.3251489971583,160.42347724317375,2021-04-08 18:45:36,2021-04-08 18:45:37.000000000
33,465,170,477.98998754418744,162.17331065124972,2021-04-08 18:45:42,2021-04-08 18:45:43.499999872
34,625,170,533.914370983483,165.67238014640208,2021-04-08 18:45:45,2021-04-08 18:45:46.000000000
35,487,165,516.9990539857199,163.77436431830472,2021-04-08 18:45:48,2021-04-08 18:45:48.000000000
36,386,213,469.96132227079363,172.65665263694115,2021-04-08 18:45:51,2021-04-08 18:45:51.500000000
37,368,211,438.186509071648,177.4191732593248,2021-04-08 18:45:57,2021-04-08 18:45:59.000000000
38,366,225,415.85520156005794,189.14536651382622,2021-04-08 18:46:00,2021-04-08 18:46:01.500000000
39,357,219,398.13480884149686,198.09695449062377,2021-04-08 18:46:03,2021-04-08 18:46:04.000000000
40,386,213,393.4969689741674,203.65665174494848,2021-04-08 18:46:06,2021-04-08 18:46:06.000000000
41,361,212,382.352726744209,205.62446854520547,2021-04-08 18:46:09,2021-04-08 18:46:10.000000000
42,368,211,376.3243551764966,208.27495731078554,2021-04-08 18:46:12,2021-04-08 18:46:12.500000000
43,345,225,367.2172758144213,212.28865318551482,2021-04-08 18:46:15,2021-04-08 18:46:16.333333333
44,368,211,366.91234139949074,211.4411987235726,2021-04-08 18:46:18,2021-04-08 18:46:19.000000000
45,329,247,353.45601429871215,220.9651041324408,2021-04-08 18:46:21,2021-04-08 18:46:22.000000000
46,368,211,358.22992053125415,215.98396439438613,2021-04-08 18:46:24,2021-04-08 18:46:24.500000000
47,401,181,372.9961377935201,203.86901294394687,2021-04-08 18:46:27,2021-04-08 18:46:28.750000000
48,407,176,384.7933226882659,195.926842329068,2021-04-08 18:46:30,2021-04-08 18:46:30.750000000
49,409,175,393.81009900904655,189.6407229234944,2021-04-08 18:46:33,2021-04-08 18:46:34.250000000
50,396,181,393.7831775683276,187.48486589004472,2021-04-08 18:46:36,2021-04-08 18:46:36.500000000
51,368,211,384.51469580587866,198.16482838252068,2021-04-08 18:46:39,2021-04-08 18:46:39.000000000
52,368,211,378.88074707549765,202.8956564950878,2021-04-08 18:46:42,2021-04-08 18:46:42.999999744
53,381,189,380.2211993472581,197.59932591653248,2021-04-08 18:46:45,2021-04-08 18:46:45.000000000
54,479,174,410.1237484825694,189.84875701791975,2021-04-08 18:46:48,2021-04-08 18:46:48.750000000
55,396,174,404.9402135815188,185.34499114342202,2021-04-08 18:46:51,2021-04-08 18:46:52.833333333
56,460,166,423.43646420124355,178.19388357472087,2021-04-08 18:46:54,2021-04-08 18:46:55.000000000
57,494,168,446.35245650371587,172.08585638361563,2021-04-08 18:46:57,2021-04-08 18:46:57.666666667
97,369,206,369.4976822943112,206.28567781125193,2021-04-08 18:48:00,2021-04-08 18:48:01.000000000
98,391,187,377.2077416854215,199.9095372852142,2021-04-08 18:48:03,2021-04-08 18:48:04.000000000
99,393,199,383.50187294188885,200.32851044836923,2021-04-08 18:48:06,2021-04-08 18:48:08.000000000
100,394,190,387.2141429671235,197.14474585236707,2021-04-08 18:48:09,2021-04-08 18:48:10.000000000
101,367,219,381.56707898395194,204.21774642269637,2021-04-08 18:48:12,2021-04-08 18:48:12.666666752
102,368,211,378.0894704724824,205.77620140477464,2021-04-08 18:48:15,2021-04-08 18:48:16.000000000
103,372,202,377.29369094776814,203.2779809161363,2021-04-08 18:48:18,2021-04-08 18:48:19.500000000
104,361,212,373.5626973334885,205.83254120478367,2021-04-08 18:48:21,2021-04-08 18:48:22.000000000
105,375,226,374.9882952399882,211.6771141161946,2021-04-08 18:48:24,2021-04-08 18:48:25.500000000
106,367,219,373.1028290014889,213.13296496407676,2021-04-08 18:48:27,2021-04-08 18:48:27.500000000
107,375,220,374.2432183224696,214.85396296609966,2021-04-08 18:48:30,2021-04-08 18:48:31.000000000
108,385,216,378.237858088564,214.01588246738152,2021-04-08 18:48:33,2021-04-08 18:48:34.000000000
109,518,180,422.8320313652797,202.44444176474994,2021-04-08 18:48:36,2021-04-08 18:48:36.750000000
110,394,190,411.2607959363413,198.84112635817047,2021-04-08 18:48:42,2021-04-08 18:48:42.000000000
111,399,178,406.316860556705,191.8798075707458,2021-04-08 18:48:45,2021-04-08 18:48:46.750000000
112,379,198,394.5984215881535,195.47462869042,2021-04-08 18:48:48,2021-04-08 18:48:49.000000000
113,324,252,372.32679781471927,213.96872519232048,2021-04-08 18:48:51,2021-04-08 18:48:53.000000000
114,432,184,390.91435184564057,204.02653590893073,2021-04-08 18:48:54,2021-04-08 18:48:55.000000000
115,521,156,431.9418126809307,182.92166712013406,2021-04-08 18:48:57,2021-04-08 18:48:57.000000000
116,444,158,437.81616839255395,171.47233755364925,2021-04-08 18:49:00,2021-04-08 18:49:01.500000000
117,449,162,442.2281209128528,165.56022467529607,2021-04-08 18:49:03,2021-04-08 18:49:04.666666667
118,391,187,423.3910298710525,172.84792242765928,2021-04-08 18:49:06,2021-04-08 18:49:07.000000000
119,495,174,449.2282128916589,172.73376571855022,2021-04-08 18:49:09,2021-04-08 18:49:10.000000000
120,395,170,432.3985374830346,170.74881396163408,2021-04-08 18:49:15,2021-04-08 18:49:17.000000000
121,458,185,442.08399271152393,174.23675034002915,2021-04-08 18:49:18,2021-04-08 18:49:19.000000000
122,389,189,422.49453919047653,179.8286507834447,2021-04-08 18:49:21,2021-04-08 18:49:21.000000000
123,535,186,461.25922293284344,180.9020523875837,2021-04-08 18:49:24,2021-04-08 18:49:25.000000000
