,time,av_time,x,y,ax,ay,bx,by,cx,cy
0,2021-04-08 18:44:00,2021-04-08 18:44:01.333333504,403.945174479122,196.71821360700625,413,159,414,235,400,219
1,2021-04-08 18:44:03,2021-04-08 18:44:04.249999957,404.3233932098295,195.05719901279292,413,159,400,219,414,235
2,2021-04-08 18:44:06,2021-04-08 18:44:07.000000000,401.7444184714105,224.7751276514162,400,219,402,247,413,159
3,2021-04-08 18:44:09,2021-04-08 18:44:09.888888832,382.2838164514908,191.7605340996529,391,146,343,222,402,247
4,2021-04-08 18:44:12,2021-04-08 18:44:13.500000000,400.970994356642,198.1341913419086,391,146,414,235,402,247
5,2021-04-08 18:44:15,2021-04-08 18:44:15.833333333,345.89644737035917,247.39245586570792,414,235,339,250,327,237
6,2021-04-08 18:44:18,2021-04-08 18:44:18.666666581,387.0069678421271,223.58278059634546,414,235,309,254,413,159
7,2021-04-08 18:44:21,2021-04-08 18:44:22.250000000,473.0437426342111,205.02415479046962,413,159,677,210,400,219
8,2021-04-08 18:44:24,2021-04-08 18:44:25.375000064,671.9065212464781,170.34928239272296,683,161,637,168,677,141
9,2021-04-08 18:44:27,2021-04-08 18:44:28.000000000,591.7407885143829,151.74090775802844,567,146,569,155,634,156
10,2021-04-08 18:44:30,2021-04-08 18:44:32.000000000,404.6157786534677,212.14625471635662,413,159,402,247,400,219
11,2021-04-08 18:44:33,2021-04-08 18:44:33.333333333,628.285148291773,179.4343461070059,567,146,608,208,679,224
12,2021-04-08 18:44:36,2021-04-08 18:44:37.000000064,397.4784538863443,197.54942273153938,386,201,393,159,413,159
13,2021-04-08 18:44:39,2021-04-08 18:44:39.750000000,408.3156377477186,184.35699111281485,413,159,414,235,393,159
14,2021-04-08 18:44:42,2021-04-08 18:44:42.999999949,557.2062742497599,178.16822759745486,528,185,514,187,510,157
15,2021-04-08 18:44:45,2021-04-08 18:44:46.125000000,402.0426946756428,197.88943752726826,393,159,414,235,402,247
16,2021-04-08 18:44:48,2021-04-08 18:44:48.928571429,417.4701342709485,182.0685407445997,443,186,452,166,393,169
17,2021-04-08 18:44:51,2021-04-08 18:44:51.750000000,510.4614043403823,173.65178187883993,514,187,528,185,494,169
18,2021-04-08 18:44:54,2021-04-08 18:44:54.400000000,485.3276680019041,180.3600605010272,443,186,492,185,475,169
19,2021-04-08 18:44:57,2021-04-08 18:44:58.250000000,605.995607736353,149.34484582278301,567,146,677,141,569,155
20,2021-04-08 18:45:00,2021-04-08 18:45:00.000000000,456.9158329890893,151.27230507278105,510,157,440,146,414,146
21,2021-04-08 18:45:03,2021-04-08 18:45:04.400000000,492.2135648000244,161.05016374749792,485,156,464,162,494,169
22,2021-04-08 18:45:06,2021-04-08 18:45:07.499999915,636.1354359382741,163.2165618087706,567,146,684,178,569,155
23,2021-04-08 18:45:09,2021-04-08 18:45:10.250000043,530.4015625995569,180.95850722646227,533,162,528,185,544,187
24,2021-04-08 18:45:12,2021-04-08 18:45:12.750000000,586.8512913471787,206.40075015638678,677,210,608,208,413,159
25,2021-04-08 18:45:15,2021-04-08 18:45:16.000000000,523.7903920445725,172.8786723004895,533,162,514,187,528,185
26,2021-04-08 18:45:18,2021-04-08 18:45:19.750000000,414.4832803516993,155.91571594255433,440,157,414,146,391,146
27,2021-04-08 18:45:21,2021-04-08 18:45:21.800000000,470.5035605712912,153.8760300364272,464,162,484,145,485,156
28,2021-04-08 18:45:24,2021-04-08 18:45:25.250000000,424.35426288259754,149.72337459196584,391,146,440,146,464,145
29,2021-04-08 18:45:27,2021-04-08 18:45:27.666666667,529.8055352900672,170.27566393780202,533,162,528,185,402,247
30,2021-04-08 18:45:30,2021-04-08 18:45:32.000000000,449.75850015369645,154.59773022999343,440,146,464,162,464,145
31,2021-04-08 18:45:33,2021-04-08 18:45:33.833333333,415.2533255979234,148.71688742025572,391,146,440,146,464,145
32,2021-04-08 18:45:36,2021-04-08 18:45:36.625000000,502.32899669987097,175.96319918661197,492,185,514,187,484,145
33,2021-04-08 18:45:39,2021-04-08 18:45:40.125000000,523.3516129559234,165.29325107468208,524,162,510,157,528,185
34,2021-04-08 18:45:42,2021-04-08 18:45:42.928571392,467.6026841701651,155.35745242060037,484,145,440,146,443,186
35,2021-04-08 18:45:45,2021-04-08 18:45:46.400000000,455.4635240216728,159.8040374774159,452,166,464,162,440,146
36,2021-04-08 18:45:48,2021-04-08 18:45:48.333333333,424.03920247728416,229.68151600952908,414,235,402,247,413,159
