,time,av_time,x,y,ax,ay,bx,by,cx,cy
0,2021-04-08 18:44:00,2021-04-08 18:44:02.000000000,370.3485756544576,211.9640952495806,402,247,327,237,374,188
1,2021-04-08 18:44:03,2021-04-08 18:44:03.000000000,370.3485756544576,211.9640952495806,402,247,327,237,374,188
2,2021-04-08 18:44:06,2021-04-08 18:44:07.500000000,377.893736996681,207.48551826053276,413,159,402,247,327,237
3,2021-04-08 18:44:09,2021-04-08 18:44:10.000000000,383.78366008842914,201.79655116187013,393,169,386,201,402,187
4,2021-04-08 18:44:15,2021-04-08 18:44:16.500000000,366.36567970484487,219.141936717029,393,169,327,237,414,235
5,2021-04-08 18:44:18,2021-04-08 18:44:19.000000000,370.79802865352116,214.48580705883288,402,247,327,237,393,159
6,2021-04-08 18:44:21,2021-04-08 18:44:21.000000000,370.79802865352116,214.48580705883288,402,247,327,237,393,159
7,2021-04-08 18:44:24,2021-04-08 18:44:25.750000000,586.3395812641483,168.49853956655852,510,157,699,213,509,146
8,2021-04-08 18:44:27,2021-04-08 18:44:28.166666667,588.0839262073059,163.40121401290142,640,187,560,145,579,168
9,2021-04-08 18:44:30,2021-04-08 18:44:31.166666688,627.5870636673011,180.266138004248,689,202,485,156,684,178
10,2021-04-08 18:44:33,2021-04-08 18:44:34.000000000,501.83786828305665,188.1967609877187,386,201,629,233,402,187
11,2021-04-08 18:44:36,2021-04-08 18:44:38.000000000,602.4760727190944,179.25788692994865,683,161,629,233,402,187
12,2021-04-08 18:44:39,2021-04-08 18:44:39.750000000,636.1798477517887,177.95629301077653,683,161,629,233,708,209
13,2021-04-08 18:44:42,2021-04-08 18:44:44.000000000,526.4677258233561,165.99381752193068,567,146,560,145,413,159
14,2021-04-08 18:44:45,2021-04-08 18:44:46.250000000,526.3551324339513,166.09283652607948,560,169,443,186,414,146
15,2021-04-08 18:44:48,2021-04-08 18:44:49.000000000,630.7381397066765,198.42596625744758,689,202,610,233,629,213
16,2021-04-08 18:44:51,2021-04-08 18:44:52.000000000,367.1392323041818,220.1055612390015,402,247,327,237,374,188
17,2021-04-08 18:44:54,2021-04-08 18:44:55.750000000,456.07942916294024,186.39694101606995,467,185,512,170,413,159
18,2021-04-08 18:44:57,2021-04-08 18:44:59.000000000,628.0328210794518,202.14320643982919,629,233,464,162,719,196
19,2021-04-08 18:45:00,2021-04-08 18:45:00.750000000,515.2953752004267,179.22132261514787,665,198,625,189,391,146
20,2021-04-08 18:45:03,2021-04-08 18:45:04.500000000,634.6765373737219,194.1506491527168,719,196,679,224,720,221
