,x,y,x_pf,y_pf,time,av_time
0,391,187,390.5543780058647,193.53787964715406,2021-04-08 18:44:00,2021-04-08 18:44:04.000000000
1,368,211,375.8725668530162,205.68395046316758,2021-04-08 18:44:05,2021-04-08 18:44:08.000000000
2,364,228,357.64547568391924,219.26269243129494,2021-04-08 18:44:10,2021-04-08 18:44:11.666666624
3,388,220,373.0100146083033,211.54061775347913,2021-04-08 18:44:15,2021-04-08 18:44:16.500000000
4,327,247,351.55384336584024,227.02613246886585,2021-04-08 18:44:20,2021-04-08 18:44:22.666666667
5,349,233,347.84546821116214,225.28257238713772,2021-04-08 18:44:25,2021-04-08 18:44:27.900000000
6,381,205,367.18334216256994,213.61157765601635,2021-04-08 18:44:30,2021-04-08 18:44:31.604166656
7,378,208,370.2890836514566,209.4178753881323,2021-04-08 18:44:35,2021-04-08 18:44:37.125000000
8,345,235,353.577543671998,221.24797482780403,2021-04-08 18:44:40,2021-04-08 18:44:42.566666650
9,392,192,374.2042436636276,206.03448859324718,2021-04-08 18:44:45,2021-04-08 18:44:46.500000000
10,401,178,391.27675746852805,195.37817201732537,2021-04-08 18:44:50,2021-04-08 18:44:52.533333350
11,490,168,457.06957049643347,167.7036306590877,2021-04-08 18:44:55,2021-04-08 18:44:57.666666650
12,502,156,479.7540046593857,151.26533201529853,2021-04-08 18:45:00,2021-04-08 18:45:02.250000000
13,511,156,499.8119658524132,149.40144027891677,2021-04-08 18:45:05,2021-04-08 18:45:07.500000000
14,508,155,506.8328630502871,148.260945067534,2021-04-08 18:45:10,2021-04-08 18:45:11.437499968
15,501,153,504.40769822322676,145.33719536406483,2021-04-08 18:45:15,2021-04-08 18:45:17.000000000
16,511,153,509.3712613153411,147.83878071897288,2021-04-08 18:45:20,2021-04-08 18:45:22.666666667
17,499,155,503.52462091289914,144.392034352551,2021-04-08 18:45:25,2021-04-08 18:45:27.624999936
18,524,163,514.5050840533081,155.09789614455337,2021-04-08 18:45:30,2021-04-08 18:45:32.000000000
19,498,154,504.0550488730382,145.6174522622593,2021-04-08 18:45:35,2021-04-08 18:45:38.333333333
20,486,172,494.3132014593222,168.21583856893272,2021-04-08 18:45:40,2021-04-08 18:45:43.750000000
21,390,185,442.009441599531,177.14716009142742,2021-04-08 18:45:50,2021-04-08 18:45:52.375000000
22,365,208,396.11744859404956,194.06544086501594,2021-04-08 18:45:55,2021-04-08 18:45:55.500000000
23,367,212,377.4174641340364,207.45184316876444,2021-04-08 18:46:00,2021-04-08 18:46:01.333333248
24,378,200,376.0476423073885,205.6930049876642,2021-04-08 18:46:05,2021-04-08 18:46:05.500000000
25,372,202,372.98432907058094,204.69698420569313,2021-04-08 18:46:10,2021-04-08 18:46:13.500000000
26,355,234,360.6905822849751,221.08975645768655,2021-04-08 18:46:15,2021-04-08 18:46:15.833333376
27,335,232,349.07845623017243,226.1983472571347,2021-04-08 18:46:20,2021-04-08 18:46:22.500000000
28,411,180,381.36408957410043,203.18222270264704,2021-04-08 18:46:25,2021-04-08 18:46:28.166666667
29,557,164,443.06668092274253,166.8599787284513,2021-04-08 18:46:30,2021-04-08 18:46:31.750000000
30,367,203,412.32456597179896,184.3089384997489,2021-04-08 18:46:35,2021-04-08 18:46:37.000000000
31,327,247,370.7084376120074,210.38073338647578,2021-04-08 18:46:40,2021-04-08 18:46:41.583333312
32,343,230,355.9993401237881,220.46627724560756,2021-04-08 18:46:45,2021-04-08 18:46:46.900000000
33,381,198,369.27260818365437,208.8001850004268,2021-04-08 18:46:50,2021-04-08 18:46:53.000000000
34,361,216,365.85751506066003,212.8185526628481,2021-04-08 18:46:55,2021-04-08 18:46:56.000000000
59,368,211,368.7292064153884,210.50075853931278,2021-04-08 18:48:00,2021-04-08 18:48:01.750000128
60,368,211,368.9229498053098,210.80744993533705,2021-04-08 18:48:05,2021-04-08 18:48:07.000000000
61,387,203,376.078007693837,206.92572134599538,2021-04-08 18:48:10,2021-04-08 18:48:13.250000000
62,367,219,369.85552646527657,210.95424873651316,2021-04-08 18:48:15,2021-04-08 18:48:17.000000256
63,437,176,409.6884737341671,192.83114026814894,2021-04-08 18:48:20,2021-04-08 18:48:23.000000000
64,397,182,401.1084540707735,191.67554046713508,2021-04-08 18:48:25,2021-04-08 18:48:26.125000000
65,373,202,382.7510280904862,201.57862673949762,2021-04-08 18:48:30,2021-04-08 18:48:33.000000000
66,398,216,380.98395575971256,211.92674690919168,2021-04-08 18:48:35,2021-04-08 18:48:37.500000000
67,386,213,376.243279522074,210.16366475173788,2021-04-08 18:48:40,2021-04-08 18:48:44.000000000
68,395,170,388.9998880093714,195.4527871290815,2021-04-08 18:48:45,2021-04-08 18:48:45.000000000
69,384,190,383.940593253685,198.1628173229733,2021-04-08 18:48:50,2021-04-08 18:48:53.000000000
70,476,172,430.53060100685684,176.39240058164853,2021-04-08 18:48:55,2021-04-08 18:48:57.500000000
