,x,y,x_pf,y_pf,time,av_time
0,357,219,357.4729248968534,217.73859079074938,2021-04-08 18:44:00,2021-04-08 18:44:02.500000000
1,327,247,351.2455460845136,231.53016231775726,2021-04-08 18:44:05,2021-04-08 18:44:08.250000000
2,385,188,374.89874919646354,212.9985969099503,2021-04-08 18:44:10,2021-04-08 18:44:11.000000000
3,327,247,353.96278831048147,229.80109246673754,2021-04-08 18:44:15,2021-04-08 18:44:17.250000000
4,367,219,367.45021337933997,222.7180563988966,2021-04-08 18:44:20,2021-04-08 18:44:21.000000000
5,533,172,438.8449920005272,178.1375959119615,2021-04-08 18:44:25,2021-04-08 18:44:27.500000000
6,382,205,415.32207598443466,187.16577224540356,2021-04-08 18:44:30,2021-04-08 18:44:31.541666688
7,569,194,511.971392731909,176.42253841393716,2021-04-08 18:44:35,2021-04-08 18:44:38.500000000
8,388,216,430.9734175664389,182.20345984258142,2021-04-08 18:44:40,2021-04-08 18:44:42.833333333
9,530,177,488.09185070158077,177.42388430060768,2021-04-08 18:44:45,2021-04-08 18:44:46.916666752
10,435,193,460.1080645311521,179.76322623677078,2021-04-08 18:44:50,2021-04-08 18:44:50.500000000
11,514,169,493.72066056119155,176.44114420895045,2021-04-08 18:44:55,2021-04-08 18:44:57.666666688
12,541,161,526.1755817533973,167.7758867841489,2021-04-08 18:45:00,2021-04-08 18:45:01.833333333
13,507,156,531.6866694260925,170.23997883281677,2021-04-08 18:45:05,2021-04-08 18:45:07.300000000
14,527,175,538.183812188092,175.99196043707016,2021-04-08 18:45:10,2021-04-08 18:45:11.750000043
15,507,165,533.0823526786623,178.37509760729543,2021-04-08 18:45:15,2021-04-08 18:45:15.750000000
16,510,155,537.8845598640423,176.5153986091693,2021-04-08 18:45:20,2021-04-08 18:45:22.000000000
17,520,156,540.9570267469683,175.0178874013007,2021-04-08 18:45:25,2021-04-08 18:45:28.000000000
18,503,167,534.0072627061475,178.78684405425716,2021-04-08 18:45:30,2021-04-08 18:45:30.250000000
19,527,161,540.7440386395036,176.90968818303352,2021-04-08 18:45:35,2021-04-08 18:45:37.500000000
20,503,189,532.9196677987281,179.45949141507234,2021-04-08 18:45:40,2021-04-08 18:45:43.500000000
21,475,170,524.6864691188293,180.2708497114658,2021-04-08 18:45:45,2021-04-08 18:45:47.500000000
22,487,163,530.3204614654962,171.9473395553309,2021-04-08 18:45:50,2021-04-08 18:45:51.500000000
23,366,225,466.64372709613593,181.82683043607733,2021-04-08 18:45:55,2021-04-08 18:45:57.000000000
