,x,y,x_pf,y_pf,time,av_time
0,396,216,394.53961978106395,213.41938866527812,2021-04-08 18:44:00,2021-04-08 18:44:01.750000000
1,332,247,367.16867640045996,225.89779998631977,2021-04-08 18:44:05,2021-04-08 18:44:08.000000000
2,327,247,350.22085185060155,231.1748645470987,2021-04-08 18:44:10,2021-04-08 18:44:13.250000000
3,327,247,336.3209194457723,232.5110795260463,2021-04-08 18:44:15,2021-04-08 18:44:18.000000000
4,421,173,382.2669935859208,201.471301175157,2021-04-08 18:44:20,2021-04-08 18:44:22.833333376
5,442,175,409.90528616960097,186.40803939022072,2021-04-08 18:44:25,2021-04-08 18:44:26.875000000
6,505,170,455.98081285582066,178.45858402978294,2021-04-08 18:44:30,2021-04-08 18:44:31.000000000
7,537,177,493.4976425274156,177.53532916086576,2021-04-08 18:44:35,2021-04-08 18:44:35.624999936
8,494,160,493.6230238788102,167.00776779667984,2021-04-08 18:44:40,2021-04-08 18:44:43.000000000
9,395,182,442.86233055875186,174.71675179477722,2021-04-08 18:44:45,2021-04-08 18:44:47.166666581
10,429,177,434.1468303124882,175.4867231321477,2021-04-08 18:44:50,2021-04-08 18:44:52.166666624
11,466,165,452.54299259671734,167.86798381709454,2021-04-08 18:44:55,2021-04-08 18:44:56.916666688
12,510,153,484.4475995406085,156.84180110853805,2021-04-08 18:45:00,2021-04-08 18:45:01.000000000
13,524,162,506.14273018179,158.51125253586667,2021-04-08 18:45:05,2021-04-08 18:45:07.500000000
14,515,153,510.834951222212,153.58793627136737,2021-04-08 18:45:10,2021-04-08 18:45:11.125000000
15,493,151,500.80871431521444,150.63878623166582,2021-04-08 18:45:15,2021-04-08 18:45:17.250000000
16,503,157,499.65896606353255,151.17577891534066,2021-04-08 18:45:20,2021-04-08 18:45:21.000000000
17,475,176,485.4590076927932,162.37014492092527,2021-04-08 18:45:25,2021-04-08 18:45:29.000000000
18,504,157,494.70828275122443,157.2337349073945,2021-04-08 18:45:30,2021-04-08 18:45:30.500000000
19,515,166,505.9117153950564,157.9024114480295,2021-04-08 18:45:35,2021-04-08 18:45:39.000000000
20,506,152,506.8373358540078,152.35476034431974,2021-04-08 18:45:40,2021-04-08 18:45:41.000000000
21,520,171,513.8561910929473,159.89167523775606,2021-04-08 18:45:45,2021-04-08 18:45:46.000000000
22,416,179,461.9109491742904,169.41333975959196,2021-04-08 18:45:50,2021-04-08 18:45:52.750000064
23,389,189,423.2326500164009,179.22630104622505,2021-04-08 18:45:55,2021-04-08 18:45:55.750000000
24,373,202,395.6389196371152,189.91318892554705,2021-04-08 18:46:00,2021-04-08 18:46:02.000000000
25,357,244,376.10149333154976,214.99352597401528,2021-04-08 18:46:05,2021-04-08 18:46:06.250000000
26,357,219,365.99959147420225,215.79255572928145,2021-04-08 18:46:15,2021-04-08 18:46:15.000000000
27,327,247,344.95319620324085,225.84126648245504,2021-04-08 18:46:20,2021-04-08 18:46:22.499999872
28,389,188,370.28346021181676,205.22009424341024,2021-04-08 18:46:25,2021-04-08 18:46:26.666666581
29,432,176,401.83776120092364,189.34671055376953,2021-04-08 18:46:30,2021-04-08 18:46:33.000000085
