,time,av_time,x,y,ax,ay,bx,by,cx,cy
0,2021-04-08 18:44:00,2021-04-08 18:44:01.500000000,390.1666666666667,200.66666666666666,386,235,374,188,402,247
1,2021-04-08 18:44:05,2021-04-08 18:44:07.250000000,361.6666666666667,209.66666666666666,343,222,355,209,366,220
2,2021-04-08 18:44:10,2021-04-08 18:44:12.333333248,368.3333333333333,212.5,343,222,386,201,366,220
3,2021-04-08 18:44:15,2021-04-08 18:44:16.666666752,361.6666666666667,209.66666666666666,355,209,343,222,366,220
4,2021-04-08 18:44:20,2021-04-08 18:44:22.083333376,378.0,202.16666666666666,393,169,386,201,423,168
5,2021-04-08 18:44:25,2021-04-08 18:44:26.791666688,386.8333333333333,189.16666666666666,386,201,393,169,402,187
6,2021-04-08 18:44:30,2021-04-08 18:44:32.083333312,347.6666666666667,223.83333333333334,343,222,355,209,366,220
7,2021-04-08 18:44:35,2021-04-08 18:44:37.125000000,342.5,229.33333333333334,343,222,309,254,355,209
8,2021-04-08 18:44:40,2021-04-08 18:44:43.166666667,368.3333333333333,212.5,366,220,386,201,355,209
9,2021-04-08 18:44:45,2021-04-08 18:44:46.666666667,387.1666666666667,204.16666666666666,423,168,443,186,402,187
10,2021-04-08 18:44:50,2021-04-08 18:44:51.625000000,425.3333333333333,177.0,423,168,393,169,443,186
11,2021-04-08 18:44:55,2021-04-08 18:44:56.800000000,414.5,177.33333333333334,443,186,393,169,452,166
12,2021-04-08 18:45:00,2021-04-08 18:45:02.111111168,503.0,163.16666666666666,484,145,512,170,514,187
13,2021-04-08 18:45:05,2021-04-08 18:45:06.833333376,515.5,157.33333333333334,485,156,527,145,528,185
14,2021-04-08 18:45:10,2021-04-08 18:45:12.833333248,524.6666666666666,166.5,509,146,510,157,533,162
15,2021-04-08 18:45:15,2021-04-08 18:45:16.500000000,499.6666666666667,158.33333333333334,527,145,485,156,464,162
16,2021-04-08 18:45:20,2021-04-08 18:45:23.750000000,511.8333333333333,164.33333333333334,484,145,528,185,524,162
17,2021-04-08 18:45:25,2021-04-08 18:45:26.750000000,519.3333333333334,160.66666666666666,544,187,524,162,509,146
18,2021-04-08 18:45:30,2021-04-08 18:45:30.875000064,457.3333333333333,164.5,464,162,475,169,485,156
19,2021-04-08 18:45:35,2021-04-08 18:45:36.000000000,525.5,154.66666666666666,510,157,544,156,543,145
20,2021-04-08 18:45:40,2021-04-08 18:45:43.499999872,470.0,172.83333333333334,452,166,492,185,494,169
21,2021-04-08 18:45:45,2021-04-08 18:45:46.666666667,473.6666666666667,173.16666666666666,452,166,464,162,475,169
