,time,av_time,x,y,ax,ay,bx,by,cx,cy
0,2021-04-08 18:44:00,2021-04-08 18:44:04.000000000,390.8441149809803,186.90936984028895,413.0,159.0,393.0,159.0,323.0,265.0
1,2021-04-08 18:44:05,2021-04-08 18:44:08.000000000,367.5855781196931,211.3688339415471,374.0,188.0,386.0,235.0,355.0,209.0
2,2021-04-08 18:44:10,2021-04-08 18:44:11.666666624,363.8349372629388,228.20609047253606,327.0,237.0,414.0,235.0,423.0,168.0
3,2021-04-08 18:44:15,2021-04-08 18:44:16.500000000,387.5868258904468,219.57246551853393,402.0,247.0,402.0,187.0,323.0,265.0
4,2021-04-08 18:44:20,2021-04-08 18:44:22.666666667,327.11556314901435,247.13403167666772,327.0,237.0,323.0,265.0,309.0,254.0
5,2021-04-08 18:44:25,2021-04-08 18:44:27.900000000,349.3587553287929,232.94481042414816,309.0,254.0,339.0,250.0,323.0,265.0
6,2021-04-08 18:44:30,2021-04-08 18:44:31.604166656,381.31490695700563,204.68465041461442,423.0,168.0,327.0,237.0,323.0,265.0
7,2021-04-08 18:44:35,2021-04-08 18:44:37.125000000,377.958590543018,207.61547644649315,423.0,168.0,327.0,237.0,323.0,265.0
8,2021-04-08 18:44:40,2021-04-08 18:44:42.566666650,344.8505997731335,235.4320229868889,327.0,237.0,323.0,265.0,423.0,168.0
9,2021-04-08 18:44:45,2021-04-08 18:44:46.500000000,392.2241964057464,191.54609646345057,423.0,168.0,402.0,187.0,339.0,250.0
10,2021-04-08 18:44:50,2021-04-08 18:44:52.533333350,400.9872597819668,177.58751579067598,402.0,187.0,423.0,168.0,393.0,169.0
11,2021-04-08 18:44:55,2021-04-08 18:44:57.666666650,490.3236023080987,167.98483348341418,484.0,145.0,544.0,187.0,524.0,162.0
12,2021-04-08 18:45:00,2021-04-08 18:45:02.250000000,502.0854588955717,155.9296449959592,484.0,145.0,485.0,156.0,509.0,146.0
13,2021-04-08 18:45:05,2021-04-08 18:45:07.500000000,510.5368855897445,156.4876984251161,509.0,146.0,484.0,145.0,510.0,157.0
14,2021-04-08 18:45:10,2021-04-08 18:45:11.437499968,508.0579180535252,154.6164321110988,512.0,170.0,509.0,146.0,484.0,145.0
15,2021-04-08 18:45:15,2021-04-08 18:45:17.000000000,500.6977468134877,153.17058724113807,485.0,156.0,484.0,145.0,510.0,157.0
16,2021-04-08 18:45:20,2021-04-08 18:45:22.666666667,511.1634739686432,153.19379975630525,544.0,156.0,524.0,162.0,509.0,146.0
17,2021-04-08 18:45:25,2021-04-08 18:45:27.624999936,499.4696872703341,155.2516942798511,512.0,170.0,509.0,146.0,484.0,145.0
18,2021-04-08 18:45:30,2021-04-08 18:45:32.000000000,523.9057979244151,162.58549893521325,544.0,156.0,510.0,157.0,524.0,162.0
19,2021-04-08 18:45:35,2021-04-08 18:45:38.333333333,498.1579877153246,154.43452365351308,512.0,170.0,509.0,146.0,484.0,145.0
20,2021-04-08 18:45:40,2021-04-08 18:45:43.750000000,485.66784941970246,171.8509330095652,512.0,170.0,494.0,169.0,452.0,166.0
21,2021-04-08 18:45:50,2021-04-08 18:45:52.375000000,390.3925771062616,185.30052895956374,366.0,220.0,393.0,159.0,374.0,188.0
22,2021-04-08 18:45:55,2021-04-08 18:45:55.500000000,365.400697432964,207.76440259682704,366.0,220.0,355.0,209.0,386.0,201.0
23,2021-04-08 18:46:00,2021-04-08 18:46:01.333333248,367.3869241950375,211.73706178455632,374.0,188.0,386.0,235.0,355.0,209.0
24,2021-04-08 18:46:05,2021-04-08 18:46:05.500000000,378.18591667258,199.56209786386205,374.0,188.0,386.0,235.0,393.0,169.0
25,2021-04-08 18:46:10,2021-04-08 18:46:13.500000000,372.4955694594254,202.34695280882073,374.0,188.0,386.0,235.0,393.0,169.0
26,2021-04-08 18:46:15,2021-04-08 18:46:15.833333376,354.58988153229467,234.34106581808615,327.0,237.0,386.0,235.0,343.0,222.0
27,2021-04-08 18:46:20,2021-04-08 18:46:22.500000000,335.37481972813515,231.98946278601548,309.0,254.0,327.0,237.0,355.0,209.0
28,2021-04-08 18:46:25,2021-04-08 18:46:28.166666667,411.1437743544684,179.5154531917,402.0,187.0,386.0,201.0,452.0,166.0
29,2021-04-08 18:46:30,2021-04-08 18:46:31.750000000,556.6199482312977,164.02573989089538,560.0,169.0,637.0,168.0,475.0,169.0
30,2021-04-08 18:46:35,2021-04-08 18:46:37.000000000,366.5435274008918,202.8369892298938,393.0,169.0,327.0,237.0,323.0,265.0
31,2021-04-08 18:46:40,2021-04-08 18:46:41.583333312,327.1848137123539,247.1279368530918,327.0,237.0,323.0,265.0,339.0,250.0
32,2021-04-08 18:46:45,2021-04-08 18:46:46.900000000,342.5597280635104,229.78622806289096,393.0,169.0,309.0,254.0,323.0,265.0
33,2021-04-08 18:46:50,2021-04-08 18:46:53.000000000,380.742753024557,197.722879473533,366.0,220.0,374.0,188.0,423.0,168.0
34,2021-04-08 18:46:55,2021-04-08 18:46:56.000000000,360.76178325228693,216.14933672816946,366.0,220.0,309.0,254.0,393.0,169.0
35,2021-04-08 18:52:00,2021-04-08 18:52:02.347222187,486.0104773318656,158.20599174067473,484.0,145.0,492.0,185.0,467.0,185.0
36,2021-04-08 18:52:05,2021-04-08 18:52:06.500000000,487.8263766028889,169.86498351059666,484.0,145.0,467.0,185.0,494.0,169.0
37,2021-04-08 18:52:10,2021-04-08 18:52:11.777777749,492.04589102187686,172.58324346515303,494.0,169.0,467.0,185.0,512.0,170.0
38,2021-04-08 18:52:15,2021-04-08 18:52:15.916666752,492.99419476512287,180.76288227336596,467.0,185.0,492.0,185.0,514.0,187.0
39,2021-04-08 18:52:20,2021-04-08 18:52:21.333333333,488.4391726309058,173.9396017630279,467.0,185.0,484.0,145.0,494.0,169.0
40,2021-04-08 18:52:25,2021-04-08 18:52:25.999999936,487.7520749870839,177.52864348282372,467.0,185.0,475.0,169.0,512.0,170.0
41,2021-04-08 18:52:30,2021-04-08 18:52:32.875000064,481.9320885878573,173.7040180492437,475.0,169.0,452.0,166.0,494.0,169.0
42,2021-04-08 18:52:35,2021-04-08 18:52:37.333333333,499.7693585480516,167.0095064392225,484.0,145.0,494.0,169.0,514.0,187.0
43,2021-04-08 18:52:40,2021-04-08 18:52:42.666666701,464.86571472565674,170.25586557053052,464.0,162.0,443.0,186.0,452.0,166.0
44,2021-04-08 18:52:45,2021-04-08 18:52:46.666666667,472.6633272537569,158.8771506797555,485.0,156.0,484.0,145.0,452.0,166.0
45,2021-04-08 18:52:50,2021-04-08 18:52:52.625000000,503.5095319926383,158.4497111641691,512.0,170.0,484.0,145.0,509.0,146.0
46,2021-04-08 18:52:55,2021-04-08 18:52:57.000000000,487.77432774405395,168.33360681930745,484.0,145.0,467.0,185.0,494.0,169.0
47,2021-04-08 18:53:00,2021-04-08 18:53:01.208333312,523.5263202674518,166.12950609487916,528.0,185.0,527.0,145.0,544.0,187.0
48,2021-04-08 18:53:05,2021-04-08 18:53:08.083333376,497.7544042821771,176.63297153560603,514.0,187.0,494.0,169.0,492.0,185.0
49,2021-04-08 18:53:10,2021-04-08 18:53:12.416666709,490.26172530045613,183.0025891346375,492.0,185.0,467.0,185.0,514.0,187.0
50,2021-04-08 18:53:15,2021-04-08 18:53:17.166666667,494.6350715898456,174.29528559904463,467.0,185.0,512.0,170.0,484.0,145.0
51,2021-04-08 18:53:20,2021-04-08 18:53:22.541666624,517.8945688737647,160.42142329978336,484.0,145.0,527.0,145.0,544.0,187.0
52,2021-04-08 18:53:25,2021-04-08 18:53:27.145833344,518.6348669771314,161.31989646413226,484.0,145.0,544.0,187.0,527.0,145.0
53,2021-04-08 18:53:30,2021-04-08 18:53:31.900000000,485.9259364580584,168.4339452262096,467.0,185.0,512.0,170.0,494.0,169.0
54,2021-04-08 18:53:35,2021-04-08 18:53:36.666666667,493.056954326951,183.16928678458066,492.0,185.0,467.0,185.0,514.0,187.0
55,2021-04-08 18:53:40,2021-04-08 18:53:42.555555499,509.23781364161374,151.56832250790148,485.0,156.0,484.0,145.0,527.0,145.0
56,2021-04-08 18:53:45,2021-04-08 18:53:46.875000000,498.9363756957695,151.22829174729097,485.0,156.0,484.0,145.0,510.0,157.0
57,2021-04-08 18:53:50,2021-04-08 18:53:51.500000000,499.0226137571866,173.14738381435455,512.0,170.0,494.0,169.0,475.0,169.0
58,2021-04-08 18:53:55,2021-04-08 18:53:57.208333312,492.4520870601857,170.49672810999948,484.0,145.0,467.0,185.0,514.0,187.0
