,path_len,threshold,dt,mis_val,knn,loc_method,path1_av,path2_av,path3_av,path_av_av,path1_b,path2_b,path3_b,path1_av_i,path2_av_i,path3_av_i
0,short_path,lp,3s,penalty,1,average,"[17.157649126126124, 12.018190012516481]","[10.929371959626293, 2.3533583729970444]","[9.41482857624291, 6.001885860171063]",12.500616553998443,"[18.79912960960961, 22.336166382538785]","[8.652658775442108, 6.983584250367977]","[7.894808742075409, 4.30089909470199]",[22.27027406006006],[13.60411767967968],[13.319981084017352]
1,short_path,lp,3s,penalty,1,gaus_80,"[15.979353592592593, 9.768526229355558]","[9.365172382465799, 4.090399194107291]","[9.743869399065732, 5.565559396490514]",11.69613179137471,"[10.745917531531534, 14.476182015819333]","[8.438307555555557, 4.21812849043452]","[7.894808742075409, 4.30089909470199]",[19.33924556916917],[12.505841500300301],[11.001799022222222]
2,short_path,lp,3s,penalty,1,gaus_normal,"[15.979353592592593, 9.768526229355558]","[9.365172382465799, 4.090399194107291]","[9.743869399065732, 5.565559396490514]",11.69613179137471,"[10.745917531531534, 14.476182015819333]","[8.438307555555557, 4.21812849043452]","[7.894808742075409, 4.30089909470199]",[19.33924556916917],[12.505841500300301],[11.001799022222222]
3,short_path,lp,3s,penalty,1,gaus_top,"[15.979353592592593, 9.768526229355558]","[9.365172382465799, 4.090399194107291]","[9.743869399065732, 5.565559396490514]",11.69613179137471,"[10.745917531531534, 14.476182015819333]","[8.438307555555557, 4.21812849043452]","[7.894808742075409, 4.30089909470199]",[19.33924556916917],[12.505841500300301],[11.001799022222222]
4,short_path,lp,3s,penalty,3,average,"[19.15192692892892, 11.86740181128162]","[13.092280848515175, 2.0018095113793186]","[10.44878226184518, 5.498565710603604]",14.230996679763093,"[15.109265235235235, 15.76722109077277]","[5.9668177927927895, 3.0877168359889158]","[8.39356170503837, 5.695856918291908]",[21.65347266366366],[14.337045635635633],[14.705713540273607]
5,short_path,lp,3s,penalty,3,gaus_80,"[17.589246166836784, 7.512533080115957]","[11.431188401884041, 3.3273855254431237]","[8.945398739712946, 5.274349630686494]",12.655277769477925,"[11.111360652163684, 10.457050419089324]","[6.3774896103476975, 3.22347993110638]","[8.410449893188778, 4.193460074952239]",[19.93539487774375],[13.80441846436469],[12.477201561438278]
6,short_path,lp,3s,penalty,3,gaus_normal,"[17.52095549855362, 7.521823965758451]","[11.365544542261809, 3.240985972912522]","[8.703085015150153, 5.033089147625771]",12.52986168532186,"[11.111360652163688, 10.457050419089327]","[6.331600222455993, 3.256094241729093]","[8.410449893188774, 4.193460074952238]",[19.75775998483931],[13.641917177039241],[11.996488298014999]
7,short_path,lp,3s,penalty,3,gaus_top,"[17.9529845975976, 6.206365700798286]","[13.280676761344678, 3.4088735608805547]","[9.47759421871872, 6.031141430824499]",13.570418525887,"[10.928722437437438, 8.072591723295885]","[8.654505020020018, 6.718293102092861]","[7.717035408742077, 3.928096917146406]",[20.845687720320324],[15.95419572972973],[13.357242303503506]
8,short_path,lp,3s,penalty,6,average,"[18.736381762262255, 11.023122322087211]","[14.639649570737404, 3.1995170783272635]","[15.061194476184523, 4.932414230284854]",16.145741936394728,"[13.54690856606606, 12.649817130945268]","[6.995809974140805, 2.5189629227103767]","[11.76887493993994, 7.333553540679298]",[21.24452059209209],[15.432560455955956],[18.517892285251918]
9,short_path,lp,3s,penalty,6,gaus_80,"[19.939013213577663, 10.588652032335887]","[11.94838795361981, 3.8672838720291116]","[8.986432090991997, 5.4239836563235455]",13.624611086063156,"[10.30246725154858, 8.976921356312781]","[7.180352568215558, 2.947336875544798]","[9.217543201586226, 3.891085901811178]",[21.838618889060236],[14.429642189118388],[12.653257829638695]
10,short_path,lp,3s,penalty,6,gaus_normal,"[19.61937079395428, 10.077088268866932]","[11.85179280120409, 3.684564378577794]","[8.936537005039101, 5.256004264328715]",13.469233533399155,"[10.2004473229059, 9.33279656538182]","[7.164641329383939, 2.7926235282265486]","[9.004531024579803, 4.278127614620269]",[21.28634178461389],[14.156763442104355],[12.372390755013026]
11,short_path,lp,3s,penalty,6,gaus_top,"[21.572790663413414, 10.125415376291134]","[14.022880428011343, 3.5794007798168113]","[9.506482385385386, 6.052308783935376]",15.034051158936714,"[11.20038731731732, 8.464054936554646]","[9.588949459459457, 6.583625438620766]","[9.983645408742076, 4.403261388181646]",[23.363227716516516],[16.63908217737738],[14.16056422862863]
12,short_path,lp,3s,penalty,12,average,"[19.518607785035034, 12.650940408428147]","[15.664068404070735, 4.640833916693155]","[19.555650569319326, 4.189574694406233]",18.24610891947503,"[15.759816204954953, 13.803649633907684]","[6.5097972109609605, 3.4306344038279857]","[13.15143407991325, 8.095928593260519]",[22.49858667042042],[16.42921666449783],[22.357779157440774]
13,short_path,lp,3s,penalty,12,gaus_80,"[18.50783705781736, 11.999855952802486]","[11.20848820223973, 4.831705083442178]","[9.254324449246058, 4.731985024183854]",12.990216569767716,"[10.322609496066702, 9.640828909714891]","[5.768999806337139, 3.363361462271757]","[8.695505206718279, 3.3215789889541383]",[19.7696633441166],[13.807333197886987],[13.13177871313216]
14,short_path,lp,3s,penalty,12,gaus_normal,"[18.202837874464624, 11.64249562447163]","[11.314733767870981, 4.54603307879505]","[9.185924958074713, 4.7360151089783225]",12.901165533470106,"[10.865338804487877, 9.432632655221353]","[6.093377320835454, 3.38232806165262]","[8.532382959203959, 3.9750364559548697]",[19.218626926097404],[13.676907781059384],[12.814278398844257]
15,short_path,lp,3s,penalty,12,gaus_top,"[20.60503708008008, 13.165758623270431]","[9.535025771438104, 5.3007103733309116]","[9.226489385385387, 4.530354368110658]",13.122184078967857,"[10.807537612612615, 10.418623627708358]","[4.786444678011347, 1.595832687039531]","[10.671315904237572, 3.727623713940788]",[23.15892184664665],[13.077921069602937],[13.475948266933603]
16,short_path,lp,3s,ignore,1,average,"[9.923408898898897, 5.371289632866395]","[5.106338804804803, 2.2149661064480783]","[8.607502524774775, 3.5922353249938546]",7.879083409492825,"[5.945797297297298, 3.9395024242329497]","[4.407430685685686, 2.36186866097646]","[6.172662941274609, 3.7227553761164662]",[12.120551166166168],[5.965865753420087],[12.600794526259593]
17,short_path,lp,3s,ignore,1,gaus_80,"[9.923408898898897, 5.371289632866395]","[5.106338804804803, 2.2149661064480783]","[8.607502524774775, 3.5922353249938546]",7.879083409492825,"[5.945797297297298, 3.9395024242329497]","[4.407430685685686, 2.36186866097646]","[6.172662941274609, 3.7227553761164662]",[12.120551166166168],[5.965865753420087],[12.600794526259593]
18,short_path,lp,3s,ignore,1,gaus_normal,"[9.923408898898897, 5.371289632866395]","[5.106338804804803, 2.2149661064480783]","[8.607502524774775, 3.5922353249938546]",7.879083409492825,"[5.945797297297298, 3.9395024242329497]","[4.407430685685686, 2.36186866097646]","[6.172662941274609, 3.7227553761164662]",[12.120551166166168],[5.965865753420087],[12.600794526259593]
