,path_len,threshold,dt,mis_val,knn,loc_method,path1_av,path2_av,path3_av,path_av_av,path1_b,path2_b,path3_b,path_b_av,path1_av_i,path2_av_i,path3_av_i,path3_av_i_av
0,short_path,lp2,3s,penalty,1,average,"[20.876635228228228, 13.664776797127457]","[11.662613554721384, 6.165380035154269]","[10.39109824074074, 6.18115552549466]",14.31011567456345,"[19.103960160160163, 17.045315238899054]","[9.147118663663663, 7.587641347920016]","[8.186849044044045, 4.262422989063129]",12.145975955955956,[23.93956299079079],[14.305886365699035],[13.38734009402736],17.210929816839062
1,short_path,lp2,3s,penalty,1,gaus_80,"[20.104048604104104, 12.07064627033418]","[10.54863072764431, 6.12861572129927]","[9.465880575408741, 6.085259130297754]",13.37285330238572,"[13.355021471471474, 5.898985371937466]","[9.147118663663663, 7.587641347920016]","[8.186849044044045, 4.262422989063129]",10.229663059726393,[21.390709796796795],[13.13384226079413],[10.901633803136471],15.142061953575798
2,short_path,lp2,3s,penalty,1,gaus_normal,"[20.104048604104104, 12.07064627033418]","[10.54863072764431, 6.12861572129927]","[9.465880575408741, 6.085259130297754]",13.37285330238572,"[13.355021471471474, 5.898985371937466]","[9.147118663663663, 7.587641347920016]","[8.186849044044045, 4.262422989063129]",10.229663059726393,[21.390709796796795],[13.13384226079413],[10.901633803136471],15.142061953575798
3,short_path,lp2,3s,penalty,1,gaus_top,"[20.104048604104104, 12.07064627033418]","[10.54863072764431, 6.12861572129927]","[9.465880575408741, 6.085259130297754]",13.37285330238572,"[13.355021471471474, 5.898985371937466]","[9.147118663663663, 7.587641347920016]","[8.186849044044045, 4.262422989063129]",10.229663059726393,[21.390709796796795],[13.13384226079413],[10.901633803136471],15.142061953575798
4,short_path,lp2,3s,penalty,3,average,"[20.324056450450446, 13.601853325921034]","[14.031813582499156, 5.105336137254088]","[9.667782990740738, 6.388945965209658]",14.674551007896781,"[17.100206451451452, 18.70849720826144]","[8.2677279029029, 3.839550690208265]","[8.312771821821823, 4.352619057213946]",11.226902058725392,[22.78485312052052],[16.31035187954621],[14.052764009676341],17.715989669914354
5,short_path,lp2,3s,penalty,3,gaus_80,"[20.786003976292236, 13.29205079739303]","[12.943217820154024, 4.1661643659817]","[8.832889392661311, 6.3009463390459475]",14.18737039636919,"[12.377942605642655, 9.393219390509913]","[8.668699925654217, 3.6846087673470533]","[9.09816379329829, 4.60766522889737]",10.048268774865054,[22.483456123080057],[14.712029256634192],[11.352400907426713],16.18262876238032
6,short_path,lp2,3s,penalty,3,gaus_normal,"[20.66940978467025, 13.42949948492065]","[12.842439021901122, 4.184265811080683]","[8.7981697157362, 6.136511409199599]",14.103339507435857,"[12.165369778580434, 9.48778141008865]","[8.450307125393799, 3.7539328320391587]","[8.846792680538401, 4.222654093119134]",9.820823194837544,[22.16305968205125],[14.630297259886925],[11.267591793709652],16.02031624521594
7,short_path,lp2,3s,penalty,3,gaus_top,"[20.636320915915917, 13.194152095538637]","[13.888972086336333, 3.208868601684373]","[9.359358936436436, 6.361766846808836]",14.628217312896227,"[13.355021471471474, 5.898985371937466]","[9.467697902902902, 6.565980870722782]","[8.675725710710712, 4.119598840290725]",10.499481695028363,[23.249866519919923],[15.553369358692024],[11.735633639973306],16.846289839528417
8,short_path,lp2,3s,penalty,6,average,"[19.371537721471473, 13.03264584885376]","[14.656242415832496, 5.429931167873682]","[12.788746561853522, 6.087962648714497]",15.605508899719164,"[16.944621418918917, 14.669275137698461]","[6.530734291791792, 4.47177980790897]","[10.28785312979646, 5.810103184671617]",11.254402946835723,[21.627333844344342],[15.590608334267596],[15.916872672172172],17.71160495026137
9,short_path,lp2,3s,penalty,6,gaus_80,"[18.761720998555592, 11.268975326506874]","[11.535099692185568, 3.8103690728706883]","[7.929512707049262, 5.901031036370811]",12.742111132596806,"[13.780014667185554, 9.270218471471793]","[6.67035054185225, 3.90720260282661]","[7.8377755393031405, 4.541028592257215]",9.429380249446982,[21.297231007312853],[13.460316595991392],[11.487379807256906],15.414975803520385
10,short_path,lp2,3s,penalty,6,gaus_normal,"[18.87871422821127, 11.17419496298149]","[11.874864307545508, 3.6804524765594397]","[7.767812353453491, 5.7894204883557485]",12.840463629736755,"[13.56547655379571, 9.490129989945338]","[6.45547654695941, 4.416047552078289]","[7.881750795665622, 4.394952232539472]",9.300901298806915,[21.011603709919505],[13.564444152308312],[11.266319392784855],15.280789085004225
11,short_path,lp2,3s,penalty,6,gaus_top,"[19.838659843593593, 10.82642998853451]","[11.801246503003002, 3.6514056680169613]","[8.232693743743743, 6.49584788011808]",13.290866696780114,"[15.955757252252253, 11.331368890497137]","[7.046248041374706, 7.402371067040143]","[8.580388309976643, 3.912927185249488]",10.527464534534532,[23.58656814554555],[14.839457721888555],[12.231674625358693],16.885900164264267
12,short_path,lp2,3s,penalty,12,average,"[18.596557096471468, 13.321162203612051]","[14.281807332499161, 4.867267256387154]","[15.637193867409069, 3.1795964879639067]",16.1718527654599,"[17.178249211711705, 7.633119978171393]","[5.228748156906904, 2.882860247912628]","[12.625777107107107, 7.023053763239774]",11.677591491908572,[20.830380128378373],[15.288294904637969],[18.709228843059726],18.275967958692025
