,dt,mis_val,knn,loc_method,path1_av,path2_av,path3_av,path1_b,path2_b,path3_b,path1_av_i,path2_av_i,path3_av_i
0,3s,penalty,1,average,"[16.710496808383382, 8.028145480899454]","[8.322518825387888, 5.360610620472319]","[9.233287680555556, 5.954254961655109]","[16.49965299595892, 11.883403463006058]","[8.80686690990991, 7.296525162827781]","[7.901816744639375, 7.929276733070302]",[19.661601527845228],[11.425492395397221],[10.073315226626416]
1,3s,penalty,1,gaus_80,"[15.245461474332664, 7.674051072436969]","[7.835201011974476, 4.732102609524368]","[6.979294649074075, 4.413395131199432]","[16.49965299595892, 11.883403463006058]","[8.80686690990991, 7.296525162827781]","[6.379785071806501, 4.573514085518356]",[18.065715433871826],[10.474805429940195],[7.554758246396686]
2,3s,penalty,1,gaus_normal,"[15.245461474332664, 7.674051072436969]","[7.835201011974476, 4.732102609524368]","[6.979294649074075, 4.413395131199432]","[16.49965299595892, 11.883403463006058]","[8.80686690990991, 7.296525162827781]","[6.379785071806501, 4.573514085518356]",[18.065715433871826],[10.474805429940195],[7.554758246396686]
3,3s,penalty,1,gaus_top,"[15.245461474332664, 7.674051072436969]","[7.835201011974476, 4.732102609524368]","[6.979294649074075, 4.413395131199432]","[16.49965299595892, 11.883403463006058]","[8.80686690990991, 7.296525162827781]","[6.379785071806501, 4.573514085518356]",[18.065715433871826],[10.474805429940195],[7.554758246396686]
4,3s,penalty,3,average,"[17.14504150005005, 7.321215753979807]","[7.915862325387883, 5.774839674202123]","[9.422011357407404, 5.755764073691116]","[15.140839230526824, 11.065663824959014]","[7.687181856356355, 5.535961708753972]","[7.8501361253561255, 6.358171613746003]",[19.73452739414397],[10.568691449730498],[10.098448761315277]
5,3s,penalty,3,gaus_80,"[15.422128663607323, 8.556360493511983]","[6.8548422301070335, 4.71805191355977]","[7.208982464976623, 3.8515003600761473]","[15.143238679971445, 10.96929372497536]","[7.307766671419278, 5.464935544945324]","[6.931624455893068, 4.113539479229831]",[18.275300477019876],[9.335981437044003],[7.683637060538625]
6,3s,penalty,3,gaus_normal,"[15.436557100448391, 8.506594451056428]","[6.832309949249897, 4.723467472862041]","[7.205353251736499, 3.817457318074561]","[14.997013313591687, 11.021199984926012]","[7.310293973451424, 5.37324688968161]","[6.881457439611097, 3.9564947136348483]",[18.204570870606705],[9.285890756085461],[7.652112468988577]
7,3s,penalty,3,gaus_top,"[14.900903410710713, 8.725528840325225]","[7.111408630092592, 4.675507840252827]","[7.3702025716049375, 4.249949200192672]","[15.37062129833537, 10.405920675376723]","[8.259389773023022, 5.89625437556652]","[7.346855880574453, 7.583079685918491]",[18.256716211907857],[10.2273666839519],[8.147471701341995]
8,3s,penalty,6,average,"[16.82423804219219, 7.487058823968192]","[8.000471321221221, 5.709967719176823]","[12.909125823456792, 6.161948973951025]","[15.250048181051424, 9.83455134227047]","[6.7972041063563555, 5.098788411791787]","[8.645652799145298, 6.555420716515206]",[19.702172246356866],[9.953570165168307],[13.598485350538231]
9,3s,penalty,6,gaus_80,"[15.024453669605146, 8.09400907397728]","[6.310916280104979, 4.067972158462173]","[8.061532027538252, 4.438206671721824]","[14.724657570293893, 10.300923195640308]","[6.5793680992039185, 4.922365334505571]","[6.962989281028804, 3.856489347197855]",[17.864062969713313],[8.36027910891541],[8.743399849538445]
10,3s,penalty,6,gaus_normal,"[14.973508172070195, 8.072591300310922]","[6.3323818975599035, 4.204219926670512]","[7.889582067511901, 4.238382183449734]","[14.752164308401689, 10.172230476407238]","[6.534783270936529, 4.926048263168645]","[6.9872895436231826, 3.751816157721088]",[17.755247823212965],[8.33415297781596],[8.507524484986712]
11,3s,penalty,6,gaus_top,"[14.894236910710712, 7.751108659976366]","[7.013744405092592, 4.27381918557013]","[8.256489055864199, 5.589656715607721]","[14.941002409446481, 11.189358584638384]","[8.224255516266266, 7.352635914011701]","[7.551784088598403, 5.677931251303943]",[18.35135372723841],[10.226901210160587],[9.473420394494019]
12,3s,penalty,12,average,"[16.994107252145895, 8.019821281249667]","[8.176841911846223, 5.070018593867128]","[19.057558528549382, 6.885886179659221]","[15.846946838458827, 9.67250089085552]","[6.768355144582079, 4.739464070495636]","[13.058244285968659, 7.684082958373966]",[20.608261380907972],[10.008626732628526],[20.383886627202326]
13,3s,penalty,12,gaus_80,"[15.445464864107413, 8.884870802601695]","[5.872124339010496, 3.132690016793201]","[8.954455074454547, 5.473740282030154]","[15.34660943650889, 8.914945920949123]","[5.72707407951921, 4.22041274526733]","[8.517182622309072, 6.355851128781679]",[18.567930333513235],[8.032706984404935],[9.986257539521867]
14,3s,penalty,12,gaus_normal,"[15.30881159876757, 8.670530015505541]","[5.8727076083378735, 3.3109877952818456]","[8.73229230609214, 4.939353768446879]","[15.018218432574688, 9.008414340495516]","[5.96786592605011, 4.254167531829894]","[8.533064384995413, 5.4335180259555855]",[18.211963441034687],[8.024317394142455],[9.731470775150799]
15,3s,penalty,12,gaus_top,"[15.678846924599602, 8.953605954944996]","[5.65148817205956, 2.9887814504965924]","[9.22483521697531, 6.61499816477558]","[15.873007433359286, 10.568600132776517]","[7.210180101351351, 6.158015669619639]","[9.211873304284676, 8.644402676612524]",[19.55524986243163],[9.834875931123364],[10.525529687363155]
16,3s,ignore,1,average,"[14.592734938938941, 8.343641272281724]","[3.6364809909409415, 2.8621160159705976]","[8.597443494753088, 4.201289931279351]","[13.702946914155536, 9.333812077701777]","[4.432932743796429, 4.1776942022078005]","[8.21489433760684, 7.762790540585687]",[16.25807550321292],[5.528091530965852],[10.665700355975762]
17,3s,ignore,1,gaus_80,"[14.49873728893894, 8.341306355596643]","[3.6364809909409415, 2.8621160159705976]","[8.597443494753088, 4.201289931279351]","[13.702946914155536, 9.333812077701777]","[4.432932743796429, 4.1776942022078005]","[8.21489433760684, 7.762790540585687]",[16.168103482218047],[5.528091530965852],[10.665700355975762]
18,3s,ignore,1,gaus_normal,"[14.49873728893894, 8.341306355596643]","[3.6364809909409415, 2.8621160159705976]","[8.597443494753088, 4.201289931279351]","[13.702946914155536, 9.333812077701777]","[4.432932743796429, 4.1776942022078005]","[8.21489433760684, 7.762790540585687]",[16.168103482218047],[5.528091530965852],[10.665700355975762]
19,3s,ignore,1,gaus_top,"[14.49873728893894, 8.341306355596643]","[3.6364809909409415, 2.8621160159705976]","[8.597443494753088, 4.201289931279351]","[13.702946914155536, 9.333812077701777]","[4.432932743796429, 4.1776942022078005]","[8.21489433760684, 7.762790540585687]",[16.168103482218047],[5.528091530965852],[10.665700355975762]
20,3s,ignore,3,average,"[14.39123447107107, 8.49330094715284]","[3.18503732235986, 2.0407242868839255]","[8.490631350308643, 3.366836129722142]","[13.882094000724864, 9.834031066169125]","[3.5875112442442445, 2.7622010773626324]","[8.707854472934473, 5.149618483277323]",[15.64369683772179],[4.2301347598065675],[10.070931105744606]
21,3s,ignore,3,gaus_80,"[14.327852114904237, 8.729250766114301]","[3.2065662903033614, 2.02252784482527]","[8.335861322763519, 3.719736772121534]","[14.206268602863014, 9.621668451952269]","[3.762865819914592, 2.876563806323486]","[8.709382854542906, 6.546906645402958]",[15.689436388866246],[4.570453372327309],[10.037477950541051]
22,3s,ignore,3,gaus_normal,"[14.325342310877721, 8.613437848877842]","[3.20708006084928, 2.046872750791857]","[8.431867198997573, 3.5995296135053767]","[14.162094974311888, 9.664892186765176]","[3.7005681496326104, 2.87314666059248]","[8.782297587854336, 6.184399283815141]",[15.649420957437986],[4.434700141203835],[10.048000700702577]
23,3s,ignore,3,gaus_top,"[14.593686199774776, 8.72984981088061]","[3.3470923299424427, 2.597581685403024]","[8.409040797530865, 3.9512447606294376]","[15.469579769079427, 10.411618642794652]","[5.136011069319319, 3.475287244057775]","[9.338221042524006, 7.270995318785953]",[16.43614076998322],[5.961078692756859],[10.70091658915412]
24,3s,ignore,6,average,"[13.900240573385885, 8.488776267134416]","[3.1932010321759265, 2.1291533262472244]","[8.57453048734568, 3.3316678199919734]","[14.295876759345553, 9.612214755423699]","[2.782681603445552, 3.024471692807669]","[8.756523721509971, 3.9125897149555753]",[15.21183559476815],[4.047637126508391],[10.117611833367437]
25,3s,ignore,6,gaus_80,"[13.706795317896223, 8.897713359969472]","[3.1704671166590828, 1.9836203680788405]","[8.531882954989968, 3.620848305538527]","[14.413118994336624, 9.71447423876075]","[3.235797275330588, 3.270068054942454]","[8.79473631851722, 5.275303948801137]",[15.118963763291251],[4.340590617800954],[10.138574618422322]
26,3s,ignore,6,gaus_normal,"[13.727151422473487, 8.700790711064718]","[3.194810709114381, 2.003917971667068]","[8.566769196700639, 3.565692241988357]","[14.293181847150498, 9.548314607166951]","[2.966470928527443, 3.121256760453802]","[8.890212921621469, 4.987280122381207]",[15.083596992599988],[4.160353505790395],[10.159775807243694]
27,3s,ignore,6,gaus_top,"[13.723707949774772, 8.709379175270318]","[3.83453593267017, 2.468311837924215]","[8.968360147530866, 4.546845517085609]","[14.77876185430714, 10.561804402397852]","[5.481928347097097, 3.3375458899853854]","[8.413559836182339, 7.012748046813396]",[15.49403228015898],[6.800077894424655],[10.862669952348668]
28,3s,ignore,12,average,"[13.826566489358108, 8.140262583873474]","[3.4906810824762244, 2.0426839101364536]","[8.69149361257716, 3.4187016509762715]","[14.332082750724865, 9.395693965394553]","[3.380912261340287, 2.611599284866908]","[8.858752884615384, 3.588648571413313]",[15.087865730309403],[4.404479209408852],[10.121463401114635]
29,3s,ignore,12,gaus_80,"[13.645289309325875, 8.616868803916748]","[3.3614872028965435, 1.8442855273481817]","[8.59545196503058, 3.7485031000975697]","[14.247855396981732, 9.161090590205982]","[3.6538037016487395, 2.311423931694603]","[8.74577144482387, 4.6503834384393885]",[14.935296457165723],[4.660434264153919],[10.326753005995831]
30,3s,ignore,12,gaus_normal,"[13.745341580505555, 8.4267965525016]","[3.367295323855971, 1.918322130848686]","[8.568228713786374, 3.6687433493148416]","[14.22823590458946, 9.144934378229998]","[3.562291011413104, 2.2513584864220055]","[8.741467445812017, 4.1382237302181]",[14.959678914314747],[4.421132363607422],[10.240490514188128]
31,3s,ignore,12,gaus_top,"[13.949639905605604, 9.148778172941013]","[4.360036475175177, 2.0756892480231715]","[9.78806804938272, 4.692384855197447]","[15.342692832832837, 11.234295254882014]","[5.613666795295295, 3.8675005762713157]","[8.282793874643874, 7.389502739163794]",[16.2293467502739],[7.0719836074132845],[11.285576946543822]
32,5s,penalty,1,average,"[15.409291101101104, 7.758791564069458]","[6.2917779702202195, 3.4686477262168043]","[8.322473688786008, 5.107219673478696]","[14.845815772995216, 9.837290896081292]","[6.740727929596264, 6.900065191743979]","[7.806937880658438, 8.837609699433361]",[17.694084120994013],[8.264978555555556],[9.243727587388044]
33,5s,penalty,1,gaus_80,"[14.811713448323324, 7.758996016398351]","[6.260389866053553, 3.432867130649728]","[7.155390383744855, 3.877125652799158]","[14.845815772995216, 9.837290896081292]","[6.740727929596264, 6.900065191743979]","[6.686393682539683, 4.78642879196413]",[16.981433590083373],[8.143821342193643],[7.825035098560536]
34,5s,penalty,1,gaus_normal,"[14.811713448323324, 7.758996016398351]","[6.260389866053553, 3.432867130649728]","[7.155390383744855, 3.877125652799158]","[14.845815772995216, 9.837290896081292]","[6.740727929596264, 6.900065191743979]","[6.686393682539683, 4.78642879196413]",[16.981433590083373],[8.143821342193643],[7.825035098560536]
35,5s,penalty,1,gaus_top,"[14.811713448323324, 7.758996016398351]","[6.260389866053553, 3.432867130649728]","[7.155390383744855, 3.877125652799158]","[14.845815772995216, 9.837290896081292]","[6.740727929596264, 6.900065191743979]","[6.686393682539683, 4.78642879196413]",[16.981433590083373],[8.143821342193643],[7.825035098560536]
