,path_len,threshold,dt,mis_val,knn,loc_method,path1_av,path2_av,path3_av,path_av_av,path1_b,path2_b,path3_b,path_b_av,path1_av_i,path2_av_i,path3_av_i,path3_av_i_av,first_1
359,long_path,lp2,10s,penalty,3,gaus_top,"[12.704376706595486, 8.866240128636308]","[4.116825115949282, 2.37126707447355]","[6.174495839506173, 3.374751612113878]",7.665232554016981,"[11.758019911578243, 9.223822691966943]","[4.244838821321321, 2.5634834943767255]","[5.246233724279836, 4.189943978955321]",7.0830308190598,[13.828124239684126],[5.967238202702703],[6.954174563786007],8.916512335390946,12.704376706595486
367,long_path,lp2,10s,penalty,12,gaus_top,"[12.725309709376042, 7.381184527405024]","[3.2435136159492814, 1.945321985084175]","[9.795146061728396, 7.75427480312931]",8.587989795684573,"[10.019769519519519, 6.592364682586337]","[4.560980400400401, 2.4086552684735127]","[9.167946378600822, 10.173382239019574]",7.916232099506914,[14.11737812112112],[6.052688185185184],[11.133493946502059],10.434520084269453,12.725309709376042
352,long_path,lp2,10s,penalty,1,average,"[12.744375706595484, 9.492717544169116]","[3.9634956159492845, 2.38404143446346]","[6.674730246913581, 3.1242444664133733]",7.794200523152784,"[13.265726999777554, 9.018725834622018]","[4.618269592092092, 3.6253598917944467]","[5.61220537037037, 4.732836602456819]",7.832067320746671,[14.068656542320099],[5.549708879212547],[7.495230995884775],9.037865472472474,12.744375706595484
391,long_path,lp2_n85,3s,penalty,3,gaus_top,"[13.053944358391725, 6.355745048669933]","[6.546558887825325, 3.5367383275633695]","[7.344627079320987, 4.75393137853177]",8.98171010851268,"[13.653445775775774, 9.272900141118416]","[6.9956690960404835, 5.446003688407853]","[7.226671180555556, 6.572094289143908]",9.291928684123938,[15.689250168962653],[9.046164303257516],[8.170415424218858],10.968609965479676,13.053944358391725
423,long_path,lp2_n85,5s,penalty,3,gaus_top,"[13.076562745203539, 7.040860176416661]","[5.181805720220221, 2.6214523372067884]","[6.967226363683126, 3.9827639736899316]",8.408531609702296,"[13.208512907764907, 10.18784746644794]","[5.9515751530697365, 2.5128238148588387]","[7.098213860830527, 5.308489288126036]",8.752767307221724,[14.867241542042283],[7.2577510735808275],[8.197577010807148],10.107523208810086,13.076562745203539
364,long_path,lp2,10s,penalty,12,average,"[13.08424375289178, 8.316524949682112]","[4.306079643727062, 1.8431495467895895]","[13.140371070987648, 6.523184839582164]",10.17689815586883,"[13.596262242659325, 9.14047413955952]","[3.596631803678678, 3.113560909163969]","[9.636933281893002, 6.038735892529917]",8.943275776077002,[14.463085935407628],[4.924301313813815],[15.240538044238685],11.54264176448671,13.08424375289178
357,long_path,lp2,10s,penalty,3,gaus_80,"[13.116942422550144, 8.76683461442231]","[3.989252748538579, 1.9978022338962815]","[6.103628078906423, 3.3542017135466997]",7.736607749998382,"[12.477510101790505, 8.360399495232397]","[3.318233036257181, 2.502797337956768]","[5.706314510399057, 4.661148982269734]",7.167352549482248,[13.538492764198484],[4.810483997777772],[6.759528144287219],8.369501635421159,13.116942422550144
381,long_path,lp2,10s,ignore,12,gaus_80,"[13.147872957675418, 8.372718503539325]","[2.6394096614446925, 0.9344088892405763]","[8.02326660045543, 2.2241423635659077]",7.936849739858514,"[12.633114474498772, 7.313916398018624]","[2.5634435079810314, 1.2251640166670585]","[7.6413760940687485, 3.592725219700618]",7.61264469218285,[13.65081383124873],[3.4321914282154515],[9.043762460268509],8.70892257324423,13.147872957675418
363,long_path,lp2,10s,penalty,6,gaus_top,"[13.162335820487153, 9.508279816110308]","[3.643503615949283, 2.3344103346344753]","[9.470380518518517, 7.269607275844273]",8.758739984984985,"[11.767873963963963, 9.53827207020966]","[4.749864567067068, 2.221476189318619]","[8.878790370370371, 8.136021482508404]",8.465509633800467,[14.486465397619842],[5.752715704704706],[10.52034055144033],10.253173884588293,13.162335820487153
358,long_path,lp2,10s,penalty,3,gaus_normal,"[13.183898618842798, 8.812495008098267]","[3.9203042498000276, 2.0203725785880136]","[6.144097144469045, 3.295333063975071]",7.749433337703958,"[12.509065516947992, 8.487143461991563]","[3.097560640212412, 2.5909113252788103]","[5.65261832558714, 4.630549452820369]",7.086414827582515,[13.589739000342664],[4.6396882515352],[6.77788579709987],8.335771016325912,13.183898618842798
